label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-7.076,-4.383,3.670,0.924,0.383,-0.000,-0.383,0.924,0.000,0.278,0.223,0.352,2
decor,-3.820,0.406,3.385,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.655,0.339,0.281,0
decor,-3.081,-1.098,3.464,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.326,0.136,0.319,0
decor,-11.046,-7.319,4.132,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.431,0.360,0.986,0
table,-7.556,-4.585,3.488,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.304,0.300,0.342,0
table,-10.637,-3.966,3.377,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.338,0.272,0.248,0
sofa,-5.443,0.553,3.471,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.369,0.888,0.356,2
chair,-7.934,-4.853,3.747,0.000,1.000,-0.000,-1.000,0.000,0.000,0.265,0.226,0.283,2
decor,-11.338,-4.055,3.706,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.335,0.272,0.457,0
decor,-8.707,-3.119,3.430,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.142,0.109,0.265,0
chair,-10.439,-5.990,3.666,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.763,0.564,0.523,2
chair,-10.292,-4.420,3.656,-0.707,-0.707,-0.000,0.707,-0.707,0.000,0.722,0.416,0.521,2
decor,-7.129,0.210,3.412,0.000,1.000,0.000,-1.000,0.000,0.000,0.476,0.244,0.267,0
decor,-11.317,-6.465,3.716,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.340,0.274,0.447,0
decor,-7.137,-1.264,4.498,1.000,0.000,0.000,0.000,1.000,0.000,4.569,2.354,1.388,0
decor,-7.705,-2.783,4.419,1.000,0.000,0.000,0.000,1.000,0.000,0.753,0.494,0.822,0
sofa,-7.438,-1.207,3.360,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.437,0.808,0.222,2
