label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-2.992,2.001,0.571,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.467,1.204,0.542,2
table,3.783,5.180,0.356,0.000,1.000,0.000,-1.000,0.000,0.000,1.161,0.274,0.333,0
chair,1.336,0.462,2.054,-0.000,-1.000,-0.000,1.000,0.000,0.000,6.169,2.646,2.008,2
chair,1.785,0.789,0.512,0.000,1.000,-0.000,-1.000,0.000,0.000,0.310,0.281,0.492,2
bed,-0.022,4.948,0.782,-0.000,-1.000,-0.000,1.000,-0.000,0.000,1.080,1.045,0.144,2
chair,1.758,1.647,0.543,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.274,0.263,0.514,2
table,-3.123,3.764,0.395,0.000,1.000,0.000,-1.000,0.000,0.000,0.394,0.359,0.369,0
table,1.728,1.274,0.576,0.000,1.000,0.000,-1.000,0.000,0.000,0.557,0.513,0.550,0
table,-1.461,5.888,0.413,0.000,1.000,-0.000,-1.000,0.000,0.000,0.225,0.216,0.379,0
table,1.597,5.953,0.458,0.000,1.000,-0.000,-1.000,0.000,0.000,0.338,0.221,0.429,0
