label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-9.149,7.204,2.616,0.000,1.000,0.000,-1.000,0.000,0.000,0.235,0.213,0.164,0
table,-12.111,4.582,1.694,1.000,0.000,0.000,0.000,1.000,0.000,1.044,0.294,0.391,0
storage,-9.872,4.322,0.452,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.514,0.106,0.526,1
picture,-13.866,5.890,2.648,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.538,0.036,0.922,1
table,-9.090,8.918,2.077,0.000,1.000,0.000,-1.000,0.000,0.000,2.163,0.307,0.708,0
decor,-9.171,7.458,2.109,0.000,1.000,0.000,-1.000,0.000,0.000,0.314,0.166,0.110,0
decor,-12.600,4.627,2.132,0.383,0.924,-0.000,-0.924,0.383,0.000,0.114,0.082,0.118,0
picture,-12.118,4.350,2.776,1.000,0.000,0.000,0.000,1.000,0.000,0.610,0.094,0.778,1
other,-10.177,11.234,1.658,1.000,0.000,0.000,0.000,1.000,0.000,0.481,0.184,0.308,-1
decor,-12.881,4.533,2.192,0.707,0.707,-0.000,-0.707,0.707,0.000,0.094,0.072,0.177,0
decor,-11.396,4.587,2.035,1.000,0.000,0.000,0.000,1.000,0.000,0.182,0.163,0.027,0
other,-11.741,11.382,1.778,0.000,1.000,-0.000,-1.000,0.000,0.000,0.237,0.175,0.477,-1
decor,-9.004,10.476,2.076,1.000,0.000,0.000,0.000,1.000,0.000,0.153,0.085,0.088,0
