label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,6.488,15.968,1.280,0.000,1.000,0.000,-1.000,0.000,0.000,0.466,0.201,0.454,0
picture,-0.006,10.518,2.045,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.497,0.065,0.977,1
picture,6.090,17.163,1.831,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.552,0.067,0.722,1
table,4.777,11.704,0.416,1.000,0.000,0.000,0.000,1.000,0.000,0.230,0.196,0.406,0
picture,-0.443,10.989,2.046,0.000,1.000,-0.000,-1.000,0.000,0.000,0.488,0.062,0.932,1
chair,3.394,15.861,0.550,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.317,0.329,0.470,2
decor,6.068,11.040,0.492,1.000,0.000,0.000,0.000,1.000,0.000,0.267,0.254,0.481,0
picture,0.006,10.532,3.233,1.000,0.000,0.000,0.000,1.000,0.000,0.502,0.077,0.696,1
chair,5.299,11.736,0.518,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.319,0.347,0.474,2
decor,3.420,10.779,0.482,0.000,1.000,-0.000,-1.000,0.000,0.000,0.229,0.217,0.472,0
decor,6.511,11.618,1.307,0.000,1.000,-0.000,-1.000,0.000,0.000,0.223,0.143,0.249,0
picture,6.571,11.657,2.573,0.000,1.000,-0.000,-1.000,0.000,0.000,0.442,0.087,0.724,1
table,4.084,15.806,0.424,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.373,0.361,0.415,0
table,2.996,16.902,0.556,1.000,0.000,0.000,0.000,1.000,0.000,0.410,0.288,0.532,0
picture,5.371,10.484,1.855,1.000,0.000,0.000,0.000,1.000,0.000,0.485,0.061,0.664,1
decor,2.988,16.954,1.142,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.220,0.173,0.326,0
picture,-0.437,10.967,3.304,0.000,1.000,-0.000,-1.000,0.000,0.000,0.478,0.066,0.722,1
picture,3.814,10.489,3.294,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.482,0.061,0.725,1
picture,5.997,17.154,3.232,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.490,0.068,0.664,1
bed,0.794,13.908,1.110,1.000,0.000,0.000,0.000,1.000,0.000,1.267,1.004,1.101,2
picture,3.802,10.482,1.816,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.493,0.056,0.631,1
picture,6.607,16.011,2.572,0.000,1.000,-0.000,-1.000,0.000,0.000,0.489,0.072,0.684,1
chair,4.222,11.660,0.500,0.707,0.707,-0.000,-0.707,0.707,0.000,0.312,0.337,0.478,2
chair,4.640,15.926,0.502,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.327,0.408,0.483,2
picture,5.349,10.502,3.243,1.000,0.000,0.000,0.000,1.000,0.000,0.470,0.075,0.706,1
decor,-0.144,10.808,0.478,1.000,0.000,0.000,0.000,1.000,0.000,0.296,0.295,0.465,0
table,6.285,15.765,0.455,0.000,1.000,0.000,-1.000,0.000,0.000,0.745,0.355,0.435,0
