label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-6.292,3.642,2.150,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.060,0.019,0.021,-1
decor,-10.154,7.915,1.601,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.206,0.026,0.200,0
decor,-7.361,7.682,1.494,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.241,0.230,0.179,0
decor,-10.603,7.910,1.457,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.201,0.032,0.202,0
chair,-10.167,7.191,0.521,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.590,0.510,0.519,2
bed,-8.453,6.827,1.286,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.120,1.236,1.287,2
storage,-7.066,3.903,0.496,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.622,0.335,0.495,1
tv,-7.127,3.636,1.637,0.000,1.000,0.000,-1.000,0.000,0.000,0.064,0.482,0.308,2
storage,-10.175,3.874,0.320,1.000,0.000,0.000,0.000,1.000,0.000,0.657,0.283,0.338,1
table,-7.310,7.665,0.524,1.000,0.000,0.000,0.000,1.000,0.000,0.489,0.280,0.506,0
other,-8.091,3.677,2.150,0.924,0.383,-0.000,-0.383,0.924,0.000,0.098,0.095,0.149,-1
bed,-6.002,6.842,1.285,-0.000,-1.000,0.000,1.000,-0.000,0.000,1.122,1.072,1.276,2
