label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,0.075,3.952,-2.309,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.156,0.117,0.216,0
decor,0.167,4.167,-4.952,0.924,0.383,-0.000,-0.383,0.924,0.000,0.291,0.284,0.537,0
sofa,-1.073,2.955,-5.441,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.232,0.646,0.134,2
chair,0.844,2.492,-5.502,0.000,1.000,0.000,-1.000,0.000,0.000,0.290,0.203,0.205,2
other,-0.980,2.274,-2.556,0.707,0.707,0.000,-0.707,0.707,0.000,0.688,0.380,0.165,-1
chair,0.717,-0.147,-5.533,0.000,1.000,0.000,-1.000,0.000,0.000,0.507,0.320,0.234,2
decor,0.864,0.478,-4.627,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.133,0.104,0.200,0
decor,0.813,1.949,-4.651,0.000,1.000,0.000,-1.000,0.000,0.000,0.181,0.132,0.175,0
sofa,-1.253,2.947,-5.543,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.055,0.647,0.237,2
storage,0.788,1.203,-5.224,0.000,1.000,0.000,-1.000,0.000,0.000,1.048,0.261,0.542,1
decor,0.118,4.097,-5.461,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.280,0.222,0.321,0
