label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,21.098,0.245,0.344,0.383,0.924,-0.000,-0.924,0.383,0.000,0.471,0.078,0.721,1
other,20.474,-2.356,0.936,0.707,0.707,0.000,-0.707,0.707,0.000,0.190,0.128,0.122,-1
chair,26.541,-0.702,-0.485,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.257,0.233,0.364,2
chair,28.760,-0.741,-0.415,0.000,1.000,-0.000,-1.000,0.000,0.000,0.274,0.216,0.425,2
chair,22.579,0.446,-0.487,0.707,0.707,-0.000,-0.707,0.707,0.000,0.148,0.147,0.254,2
tv,28.949,-0.351,0.695,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.144,0.531,0.383,2
storage,24.949,2.163,-0.264,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.885,0.567,0.604,1
chair,25.335,-1.288,-0.097,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.344,0.126,0.186,2
other,25.852,0.237,-0.137,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.354,0.256,0.108,-1
chair,25.978,-1.199,-0.108,1.000,0.000,0.000,0.000,1.000,0.000,0.322,0.222,0.164,2
chair,26.677,-0.111,-0.488,0.000,1.000,-0.000,-1.000,0.000,0.000,0.251,0.219,0.360,2
chair,28.640,-1.150,-0.466,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.263,0.212,0.331,2
chair,24.272,-1.043,-0.097,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.376,0.249,0.186,2
other,24.649,-0.203,0.022,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.902,1.156,0.202,-1
other,20.786,-0.922,-0.574,0.383,0.924,0.000,-0.924,0.383,0.000,0.805,0.205,0.276,-1
chair,23.579,-0.818,-0.085,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.270,0.250,0.176,2
chair,28.895,0.514,-0.498,0.000,1.000,-0.000,-1.000,0.000,0.000,0.276,0.265,0.363,2
chair,24.838,-1.143,-0.097,1.000,0.000,0.000,0.000,1.000,0.000,0.286,0.202,0.189,2
other,21.608,1.353,-0.654,0.383,0.924,0.000,-0.924,0.383,0.000,0.790,0.223,0.199,-1
chair,23.010,-0.739,-0.083,0.000,1.000,0.000,-1.000,0.000,0.000,0.258,0.251,0.180,2
