label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,3.181,-3.901,-1.849,0.000,1.000,0.000,-1.000,0.000,0.000,0.723,0.641,0.509,0
chair,2.619,-3.678,-2.043,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.102,0.218,0.223,2
picture,3.490,-1.882,-1.429,1.000,0.000,0.000,0.000,1.000,0.000,0.177,0.105,0.208,1
chair,2.277,-5.289,-1.879,0.000,1.000,-0.000,-1.000,0.000,0.000,0.277,0.237,0.416,2
picture,3.717,-1.916,-1.319,1.000,0.000,0.000,0.000,1.000,0.000,0.113,0.018,0.169,1
storage,1.016,-3.092,-1.472,0.000,1.000,-0.000,-1.000,0.000,0.000,0.806,0.145,0.890,1
chair,3.163,-3.354,-1.890,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.344,0.330,0.456,2
storage,3.737,-1.859,-1.290,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.765,0.255,1.039,1
sofa,5.115,-3.802,0.513,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.462,1.099,0.564,2
chair,3.744,-3.633,-1.897,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.340,0.332,0.450,2
picture,1.066,-1.738,-0.766,0.000,1.000,-0.000,-1.000,0.000,0.000,0.258,0.030,0.287,1
picture,3.704,-1.939,-0.796,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.214,0.032,0.215,1
storage,1.440,-5.840,-0.717,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.483,0.138,0.485,1
picture,4.210,-1.959,-1.436,1.000,0.000,0.000,0.000,1.000,0.000,0.177,0.047,0.200,1
chair,4.696,-1.899,-1.849,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.244,0.264,0.439,2
storage,4.862,-5.779,-1.040,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.555,0.234,0.792,1
other,2.345,-5.221,0.631,-0.924,0.383,0.000,-0.383,-0.924,0.000,2.084,0.987,0.688,-1
