label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,10.472,-2.851,-0.340,0.000,1.000,0.000,-1.000,0.000,0.000,0.554,0.178,0.166,-1
chair,14.550,-0.811,0.303,0.000,1.000,0.000,-1.000,0.000,0.000,0.209,0.244,0.192,2
sofa,15.531,-0.277,-2.750,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.964,2.288,0.504,2
other,20.364,-0.047,-2.513,0.000,1.000,0.000,-1.000,0.000,0.000,1.453,0.299,0.731,-1
other,18.279,0.047,0.592,0.000,1.000,0.000,-1.000,0.000,0.000,1.535,0.706,0.609,-1
chair,15.368,-0.497,0.263,0.000,1.000,-0.000,-1.000,0.000,0.000,0.420,0.485,0.248,2
chair,14.676,3.284,0.566,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.412,0.292,0.523,2
chair,13.337,0.507,-2.793,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.404,0.351,0.466,2
sofa,11.326,2.945,-2.705,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.601,0.951,0.549,2
sofa,18.103,2.698,-2.763,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.647,1.161,0.488,2
table,18.153,-0.105,-2.924,0.000,1.000,0.000,-1.000,0.000,0.000,0.791,0.454,0.301,0
chair,15.007,-3.364,0.485,0.383,0.924,0.000,-0.924,0.383,0.000,0.411,0.226,0.363,2
sofa,18.038,-2.874,-2.738,0.000,1.000,-0.000,-1.000,0.000,0.000,0.583,1.158,0.509,2
storage,13.877,-3.114,0.415,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.935,0.399,0.424,1
sofa,12.975,2.980,-2.594,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.303,1.577,0.660,2
table,15.138,-0.223,0.455,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.967,0.578,0.361,0
table,13.281,-0.296,-2.950,0.000,1.000,0.000,-1.000,0.000,0.000,0.425,0.242,0.246,0
chair,15.120,-0.124,0.340,1.000,0.000,0.000,0.000,1.000,0.000,1.200,0.614,0.330,2
other,11.289,2.430,0.434,0.000,1.000,0.000,-1.000,0.000,0.000,1.105,0.812,0.629,-1
chair,13.437,-1.181,-2.668,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.324,0.309,0.329,2
sofa,12.940,-3.160,-2.473,0.000,1.000,-0.000,-1.000,0.000,0.000,0.338,1.542,0.434,2
sofa,11.313,-1.299,0.594,1.000,0.000,0.000,0.000,1.000,0.000,0.431,0.389,0.588,2
