label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-10.471,-0.374,1.427,0.000,1.000,0.000,-1.000,0.000,0.000,0.422,0.018,0.331,1
table,-15.256,-1.253,0.309,0.000,1.000,0.000,-1.000,0.000,0.000,0.331,0.287,0.229,0
sofa,-13.460,-4.370,0.373,0.000,1.000,0.000,-1.000,0.000,0.000,0.532,1.250,0.383,2
decor,-16.931,-5.948,1.733,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.889,0.715,1.156,0
table,-13.485,-2.652,0.254,0.000,1.000,0.000,-1.000,0.000,0.000,0.971,0.789,0.285,0
storage,-17.134,-1.454,1.295,0.000,1.000,-0.000,-1.000,0.000,0.000,0.663,0.331,1.310,1
other,-10.847,-2.646,1.560,0.000,1.000,-0.000,-1.000,0.000,0.000,1.239,0.456,1.576,-1
sofa,-15.060,-3.123,0.372,0.924,0.383,-0.000,-0.383,0.924,0.000,0.906,1.747,0.392,2
table,-11.592,-0.296,0.304,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.318,0.307,0.298,0
decor,-11.079,0.818,1.706,1.000,0.000,0.000,0.000,1.000,0.000,0.649,0.547,1.476,0
table,-15.058,-4.245,0.349,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.411,0.408,0.362,0
decor,-11.255,-5.794,1.354,0.000,1.000,-0.000,-1.000,0.000,0.000,0.903,0.870,1.152,0
sofa,-11.273,-0.829,0.567,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.401,0.399,0.582,2
picture,-10.944,-2.488,2.396,0.000,1.000,0.000,-1.000,0.000,0.000,0.615,0.039,0.481,1
picture,-17.428,-1.402,2.302,0.000,1.000,0.000,-1.000,0.000,0.000,0.415,0.027,0.340,1
picture,-10.471,-0.366,2.174,0.000,1.000,0.000,-1.000,0.000,0.000,0.426,0.022,0.342,1
sofa,-11.631,-4.073,0.573,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.415,0.412,0.589,2
