label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-39.208,14.621,0.471,-0.383,-0.924,-0.000,0.924,-0.383,-0.000,0.477,1.212,0.403,2
table,-35.651,11.245,0.416,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.564,0.547,0.184,0
other,-38.357,4.047,3.209,0.383,0.924,0.000,-0.924,0.383,0.000,0.474,0.241,0.301,-1
chair,-37.835,12.831,0.615,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.437,0.367,0.453,2
table,-27.432,9.712,0.311,-0.924,0.383,0.000,-0.383,-0.924,0.000,2.005,0.414,0.207,0
chair,-30.208,9.373,0.466,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.430,0.430,0.399,2
chair,-50.021,10.899,0.548,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.399,0.454,0.464,2
chair,-38.041,7.977,0.553,0.924,-0.383,-0.000,0.383,0.924,0.000,0.388,0.353,0.392,2
storage,-44.719,14.474,0.355,0.383,0.924,0.000,-0.924,0.383,0.000,1.135,0.476,0.362,1
other,-33.093,1.933,3.249,0.383,0.924,0.000,-0.924,0.383,0.000,0.617,0.560,0.330,-1
other,-43.129,5.985,3.235,0.383,0.924,0.000,-0.924,0.383,0.000,0.542,0.262,0.342,-1
table,-31.525,9.893,0.369,0.383,0.924,0.000,-0.924,0.383,0.000,0.568,0.562,0.137,0
sofa,-32.885,10.569,0.455,0.924,-0.383,0.000,0.383,0.924,0.000,0.456,0.425,0.387,2
table,-39.766,13.239,0.361,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.547,0.540,0.109,0
sofa,-48.625,5.981,0.462,0.383,0.924,0.000,-0.924,0.383,0.000,0.442,1.536,0.394,2
storage,-43.140,13.838,0.479,0.383,0.924,0.000,-0.924,0.383,0.000,1.636,0.349,0.478,1
sofa,-52.899,7.453,0.587,0.383,0.924,0.000,-0.924,0.383,0.000,0.518,1.093,0.454,2
table,-48.406,7.219,0.346,0.383,0.924,0.000,-0.924,0.383,0.000,0.588,0.580,0.146,0
sofa,-27.375,9.897,0.518,-0.383,-0.924,-0.000,0.924,-0.383,-0.000,0.478,1.262,0.385,2
sofa,-49.673,7.773,0.588,0.924,-0.383,-0.000,0.383,0.924,0.000,0.394,0.442,0.364,2
sofa,-34.848,12.901,0.485,-0.383,-0.924,-0.000,0.924,-0.383,-0.000,0.470,1.229,0.418,2
chair,-29.971,7.489,0.673,0.924,-0.383,-0.000,0.383,0.924,0.000,0.442,0.373,0.415,2
decor,-31.786,5.215,0.417,0.383,0.924,0.000,-0.924,0.383,0.000,0.194,0.179,0.284,0
table,-27.969,8.592,0.359,0.383,0.924,0.000,-0.924,0.383,0.000,0.575,0.560,0.142,0
chair,-26.822,8.081,0.621,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.468,0.422,0.503,2
sofa,-30.912,11.276,0.465,-0.383,-0.924,-0.000,0.924,-0.383,-0.000,0.459,1.219,0.398,2
decor,-34.527,-0.878,1.356,1.000,0.000,-0.000,0.000,1.000,0.000,0.170,0.082,0.170,0
decor,-34.920,-0.681,1.339,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.126,0.072,0.185,0
chair,-49.876,11.204,0.540,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.416,0.696,0.449,2
sofa,-52.949,12.467,0.591,0.924,-0.383,-0.000,0.383,0.924,0.000,0.517,1.090,0.515,2
decor,-33.820,-1.166,1.364,0.707,-0.707,0.000,0.707,0.707,0.000,0.131,0.091,0.166,0
chair,-38.479,11.171,0.649,-0.924,0.383,-0.000,-0.383,-0.924,0.000,0.461,0.343,0.429,2
