label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,5.908,10.779,-2.179,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.346,0.314,0.413,2
other,7.351,6.990,0.696,1.000,0.000,0.000,0.000,1.000,0.000,0.640,0.325,0.660,-1
table,6.589,11.534,0.408,0.000,1.000,-0.000,-1.000,0.000,0.000,0.376,0.285,0.388,0
other,6.525,5.963,-1.903,1.000,0.000,0.000,0.000,1.000,0.000,1.207,0.310,0.130,-1
chair,1.401,12.728,0.530,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.319,0.251,0.425,2
picture,1.671,13.252,-1.211,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.265,0.037,0.250,1
chair,0.655,9.314,0.351,-1.000,0.000,0.000,0.000,-1.000,0.000,0.203,0.341,0.359,2
chair,7.043,7.894,-2.233,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.316,0.227,0.180,2
decor,7.901,9.231,-1.447,0.000,1.000,0.000,-1.000,0.000,0.000,0.253,0.151,0.187,0
chair,0.469,9.865,0.354,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.227,0.367,0.355,2
sofa,4.917,10.765,0.457,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.331,1.755,0.451,2
storage,6.532,5.837,-1.002,1.000,0.000,0.000,0.000,1.000,0.000,1.214,0.189,0.386,1
table,3.738,9.348,0.338,1.000,0.000,0.000,0.000,1.000,0.000,0.360,0.291,0.326,0
picture,0.154,9.482,-1.173,0.000,1.000,0.000,-1.000,0.000,0.000,0.645,0.061,0.407,1
table,1.435,12.091,0.536,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.621,0.555,0.324,0
sofa,7.534,10.917,0.465,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.397,0.368,0.487,2
chair,0.780,12.343,-2.282,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.528,0.349,0.429,2
sofa,4.001,9.552,-2.316,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.525,1.122,0.418,2
sofa,0.762,7.871,-2.314,0.707,0.707,-0.000,-0.707,0.707,0.000,0.306,0.345,0.397,2
chair,6.541,7.921,-2.382,1.000,0.000,0.000,0.000,1.000,0.000,0.274,0.261,0.329,2
chair,0.515,8.825,0.348,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.241,0.349,0.357,2
other,6.971,7.611,-2.239,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.774,0.453,0.491,-1
chair,6.946,11.281,-2.034,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.112,0.251,0.264,2
storage,6.529,6.260,-2.218,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.226,0.049,0.493,1
chair,2.153,12.209,-2.272,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.389,0.351,0.424,2
sofa,7.580,9.396,0.475,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.476,0.408,0.477,2
decor,0.987,13.053,-1.640,1.000,0.000,0.000,0.000,1.000,0.000,0.864,0.252,0.793,0
chair,2.009,12.148,0.563,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.325,0.260,0.386,2
picture,4.119,7.115,-1.289,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.592,0.034,0.451,1
chair,1.421,11.584,0.535,0.000,1.000,-0.000,-1.000,0.000,0.000,0.324,0.257,0.381,2
chair,6.177,9.969,-2.234,0.383,0.924,-0.000,-0.924,0.383,0.000,0.351,0.317,0.458,2
table,6.447,10.455,-2.301,0.707,0.707,0.000,-0.707,0.707,0.000,0.670,0.582,0.399,0
chair,6.922,10.127,-2.257,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.390,0.256,0.487,2
table,5.185,10.189,0.350,0.000,1.000,0.000,-1.000,0.000,0.000,0.493,0.488,0.284,0
picture,2.220,13.249,-1.209,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.248,0.035,0.248,1
decor,4.439,10.915,-1.950,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.281,0.235,0.785,0
chair,0.831,12.137,0.604,1.000,0.000,0.000,0.000,1.000,0.000,0.305,0.247,0.356,2
table,0.362,8.401,-2.524,1.000,0.000,0.000,0.000,1.000,0.000,0.273,0.254,0.205,0
picture,3.766,11.876,-1.465,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.433,0.036,0.734,1
chair,7.496,7.894,-2.241,1.000,0.000,0.000,0.000,1.000,0.000,0.239,0.226,0.192,2
