label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-18.320,17.643,3.376,0.707,-0.707,-0.000,0.707,0.707,-0.000,1.592,2.254,0.111,1
table,-18.524,17.726,3.160,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.634,1.480,0.105,0
storage,-19.058,18.731,2.782,0.707,-0.707,0.000,0.707,0.707,-0.000,0.218,0.704,0.098,1
storage,-18.265,17.627,4.271,0.707,-0.707,-0.000,0.707,0.707,-0.000,1.552,2.211,0.090,1
storage,-18.269,17.632,4.008,0.707,-0.707,-0.000,0.707,0.707,-0.000,1.548,2.209,0.238,1
storage,-18.704,17.244,1.791,0.000,1.000,0.000,-1.000,0.000,0.000,2.147,1.206,0.473,1
storage,-16.728,14.981,3.395,0.000,1.000,0.000,-1.000,0.000,0.000,0.232,0.461,0.040,1
storage,-18.718,15.358,2.842,0.383,0.924,-0.000,-0.924,0.383,0.000,0.161,0.221,0.072,1
table,-18.582,17.630,2.845,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.477,1.328,0.332,0
storage,-19.007,18.705,2.594,0.707,-0.707,0.000,0.707,0.707,-0.000,0.191,0.706,0.061,1
storage,-19.840,17.199,2.959,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.137,0.526,0.105,1
storage,-16.695,16.375,2.133,0.707,0.707,0.000,-0.707,0.707,0.000,0.456,0.065,0.093,1
storage,-16.725,15.098,4.283,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.467,0.095,0.227,1
chair,-18.518,16.790,2.950,0.383,0.924,-0.000,-0.924,0.383,0.000,0.306,0.289,0.428,2
table,-17.047,18.472,2.850,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.292,1.086,0.316,0
storage,-16.764,15.112,2.975,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.496,0.107,0.442,1
storage,-18.723,15.345,2.584,0.383,0.924,-0.000,-0.924,0.383,0.000,0.170,0.218,0.051,1
storage,-19.832,17.194,2.750,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.151,0.531,0.106,1
decor,-19.117,17.795,3.508,0.000,1.000,-0.000,-1.000,0.000,0.000,0.200,0.165,0.283,0
storage,-18.962,15.759,2.840,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.405,0.174,0.316,1
storage,-19.848,17.181,2.617,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.135,0.548,0.084,1
storage,-17.900,18.311,3.154,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.085,2.053,0.139,1
