label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-17.125,3.813,2.731,0.000,1.000,-0.000,-1.000,0.000,0.000,0.463,0.028,0.535,1
sofa,-16.880,-0.285,0.842,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.279,1.069,0.285,2
sofa,-16.980,1.359,0.842,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.162,0.718,0.356,2
picture,1.859,26.030,2.517,0.000,1.000,-0.000,-1.000,0.000,0.000,0.514,0.172,1.461,1
picture,-15.142,26.366,1.555,1.000,0.000,0.000,0.000,1.000,0.000,0.821,0.063,0.713,1
picture,2.112,18.002,2.482,0.000,1.000,-0.000,-1.000,0.000,0.000,0.538,0.185,0.998,1
storage,-9.654,30.658,0.317,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.221,0.820,0.455,1
storage,-5.519,30.697,0.322,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.168,0.747,0.407,1
chair,-0.922,26.454,0.544,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.110,0.855,0.441,2
picture,1.976,22.525,3.123,0.000,1.000,-0.000,-1.000,0.000,0.000,0.784,0.076,1.639,1
sofa,1.844,2.852,0.875,-1.000,0.000,0.000,0.000,-1.000,0.000,0.271,1.498,0.467,2
sofa,-16.668,7.663,0.533,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.400,1.533,0.310,2
picture,2.082,16.949,2.232,0.000,1.000,-0.000,-1.000,0.000,0.000,0.586,0.132,0.748,1
sofa,-17.073,2.910,1.142,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.041,0.337,0.058,2
sofa,-16.862,4.304,0.837,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.258,0.471,0.433,2
