label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-6.207,20.121,-0.417,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.456,0.919,0.414,2
sofa,-13.975,23.516,-3.635,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.669,0.897,0.416,2
chair,-13.059,19.797,-0.421,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.364,0.390,0.411,2
chair,-11.086,18.997,-0.417,0.000,1.000,-0.000,-1.000,0.000,0.000,0.368,1.370,0.415,2
sofa,-14.842,22.144,-3.624,0.000,1.000,0.000,-1.000,0.000,0.000,0.534,0.815,0.424,2
chair,-9.513,19.503,-0.425,-1.000,0.000,0.000,0.000,-1.000,0.000,0.454,0.629,0.414,2
chair,-10.138,23.185,-3.631,-1.000,-0.000,-0.000,0.000,-1.000,0.000,1.144,1.061,0.441,2
other,-16.379,18.831,-4.032,0.000,1.000,0.000,-1.000,0.000,0.000,0.525,0.051,0.026,-1
table,-7.457,20.091,-0.537,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.466,0.456,0.295,0
chair,-7.436,18.813,-0.431,0.000,1.000,-0.000,-1.000,0.000,0.000,0.442,0.513,0.401,2
chair,-11.070,20.415,-0.422,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.576,1.160,0.414,2
table,-6.372,18.804,-0.542,0.000,1.000,0.000,-1.000,0.000,0.000,0.398,0.369,0.280,0
