label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-6.133,3.619,-2.489,0.924,0.383,0.000,-0.383,0.924,0.000,0.755,0.293,0.529,0
decor,0.246,3.760,-3.072,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.566,0.212,0.235,0
sofa,-3.628,0.055,-3.194,0.383,0.924,-0.000,-0.924,0.383,0.000,0.385,0.363,0.433,2
decor,1.000,0.804,-2.772,0.383,0.924,0.000,-0.924,0.383,0.000,0.394,0.279,0.374,0
decor,-6.974,1.334,-2.301,0.000,1.000,-0.000,-1.000,0.000,0.000,0.353,0.241,0.397,0
decor,2.186,0.975,-1.861,0.924,0.383,-0.000,-0.383,0.924,0.000,0.741,0.396,1.189,0
decor,-6.912,0.447,-2.469,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.291,0.246,0.156,0
decor,-0.043,1.024,-1.699,0.000,1.000,-0.000,-1.000,0.000,0.000,0.594,0.409,1.288,0
decor,-1.508,3.868,-2.130,1.000,0.000,0.000,0.000,1.000,0.000,0.900,0.567,1.557,0
decor,-2.826,3.736,-3.049,1.000,0.000,0.000,0.000,1.000,0.000,0.670,0.299,0.322,0
decor,-6.692,2.466,-2.976,0.000,1.000,0.000,-1.000,0.000,0.000,0.688,0.266,0.235,0
decor,-7.008,0.878,-2.440,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.283,0.211,0.418,0
decor,-4.877,-0.814,-2.453,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.179,0.127,0.172,0
decor,5.163,3.714,-2.649,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.717,0.334,1.010,0
sofa,-2.837,0.006,-3.196,0.000,1.000,0.000,-1.000,0.000,0.000,0.403,0.593,0.431,2
decor,1.238,4.000,-2.347,1.000,0.000,0.000,0.000,1.000,0.000,0.660,0.328,0.776,0
decor,-5.621,-0.827,-2.339,1.000,0.000,0.000,0.000,1.000,0.000,0.578,0.244,0.230,0
decor,-4.366,3.843,-2.164,1.000,0.000,0.000,0.000,1.000,0.000,0.797,0.668,1.487,0
decor,-5.062,3.957,-2.684,0.924,0.383,0.000,-0.383,0.924,0.000,0.665,0.335,0.463,0
decor,-5.996,-0.807,-2.310,1.000,0.000,0.000,0.000,1.000,0.000,0.204,0.155,0.195,0
decor,3.408,3.850,-3.083,1.000,0.000,0.000,0.000,1.000,0.000,0.517,0.274,0.256,0
