label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-6.042,11.722,-2.999,0.707,0.707,0.000,-0.707,0.707,0.000,0.225,0.293,0.111,2
decor,-4.850,12.669,-2.391,0.000,1.000,0.000,-1.000,0.000,0.000,2.023,1.368,0.419,0
decor,-12.624,19.592,-1.372,0.000,1.000,0.000,-1.000,0.000,0.000,0.250,0.157,0.163,0
table,-7.429,13.206,0.683,0.000,1.000,0.000,-1.000,0.000,0.000,0.296,0.277,0.034,0
decor,-3.796,12.717,-1.247,0.000,1.000,0.000,-1.000,0.000,0.000,0.384,0.203,0.313,0
decor,-4.723,14.149,-1.349,0.000,1.000,0.000,-1.000,0.000,0.000,0.318,0.223,0.221,0
chair,-6.550,12.345,-2.983,0.707,0.707,0.000,-0.707,0.707,0.000,0.203,0.277,0.087,2
chair,-10.722,16.613,0.549,0.000,1.000,0.000,-1.000,0.000,0.000,0.507,0.560,0.523,2
decor,-8.309,18.893,-2.274,0.924,-0.383,-0.000,0.383,0.924,0.000,0.240,0.222,0.687,0
decor,-3.559,18.760,-1.886,0.924,0.383,-0.000,-0.383,0.924,0.000,0.235,0.234,0.398,0
chair,-3.640,18.235,-2.408,0.707,0.707,-0.000,-0.707,0.707,0.000,0.666,0.352,0.762,2
chair,-7.615,12.823,0.305,0.707,0.707,0.000,-0.707,0.707,0.000,0.197,0.182,0.153,2
chair,-7.118,12.893,-2.997,0.707,0.707,-0.000,-0.707,0.707,0.000,0.223,0.280,0.112,2
decor,-11.356,19.311,-2.548,1.000,0.000,0.000,0.000,1.000,0.000,2.083,1.397,0.209,0
decor,-5.170,15.818,-2.244,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.264,0.263,0.688,0
chair,-5.898,20.362,-2.381,0.924,0.383,-0.000,-0.383,0.924,0.000,0.719,0.431,0.827,2
chair,-7.841,13.487,-3.019,0.707,0.707,0.000,-0.707,0.707,0.000,0.183,0.288,0.122,2
chair,-7.769,13.530,0.294,0.383,0.924,0.000,-0.924,0.383,0.000,0.212,0.181,0.152,2
