label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-5.000,-16.013,-2.945,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.289,1.212,0.439,2
sofa,1.415,-15.425,0.390,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.462,0.562,0.401,2
table,-0.094,-16.304,-2.956,1.000,0.000,0.000,0.000,1.000,0.000,0.530,0.281,0.043,0
other,-7.211,-19.253,-2.843,0.000,1.000,0.000,-1.000,0.000,0.000,0.947,0.363,0.565,-1
table,1.994,-20.126,-3.201,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.449,0.443,0.182,0
chair,-0.190,-17.283,-3.027,0.000,1.000,0.000,-1.000,0.000,0.000,0.395,0.455,0.357,2
sofa,-2.276,-18.249,-3.141,1.000,0.000,0.000,0.000,1.000,0.000,1.083,0.561,0.244,2
sofa,0.485,-16.076,-2.909,1.000,0.000,0.000,0.000,1.000,0.000,1.553,1.197,0.452,2
sofa,3.153,-20.344,-2.888,-1.000,0.000,0.000,0.000,-1.000,0.000,0.212,0.796,0.473,2
sofa,-0.928,-15.450,0.376,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.468,0.443,0.405,2
sofa,-4.869,-16.552,0.376,0.383,0.924,-0.000,-0.924,0.383,0.000,0.402,0.778,0.385,2
other,-2.277,-15.680,-0.523,1.000,0.000,0.000,0.000,1.000,0.000,0.501,0.119,0.016,-1
table,-4.464,-16.296,-2.963,1.000,0.000,0.000,0.000,1.000,0.000,0.536,0.278,0.042,0
