label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,21.378,-11.358,1.916,0.000,1.000,-0.000,-1.000,0.000,0.000,0.128,0.078,0.243,-1
other,19.662,-13.232,1.924,1.000,0.000,0.000,0.000,1.000,0.000,0.157,0.077,0.255,-1
chair,19.627,-11.582,0.448,1.000,0.000,0.000,0.000,1.000,0.000,0.376,0.299,0.463,2
tv,12.640,-9.569,1.532,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.187,0.780,0.533,2
chair,21.166,-9.714,0.476,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.327,0.329,0.498,2
table,20.293,-11.505,0.365,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.684,0.681,0.387,0
decor,13.981,-13.119,0.589,1.000,0.000,0.000,0.000,1.000,0.000,0.169,0.161,0.388,0
chair,21.049,-11.362,0.460,-1.000,0.000,0.000,0.000,-1.000,0.000,0.201,0.287,0.459,2
picture,20.420,-9.410,2.140,1.000,0.000,0.000,0.000,1.000,0.000,0.394,0.017,0.526,1
sofa,12.569,-12.865,0.465,0.000,1.000,0.000,-1.000,0.000,0.000,0.661,1.014,0.488,2
chair,20.168,-12.076,0.447,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.436,0.241,0.469,2
chair,19.609,-9.646,0.464,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.383,0.324,0.487,2
chair,20.292,-10.800,0.482,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.386,0.275,0.442,2
other,11.798,-11.314,1.921,0.000,1.000,-0.000,-1.000,0.000,0.000,0.128,0.078,0.254,-1
table,12.775,-11.542,0.258,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.526,0.329,0.161,0
storage,20.392,-9.702,0.779,1.000,0.000,0.000,0.000,1.000,0.000,0.592,0.302,0.790,1
