label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-14.204,3.018,1.742,0.707,0.707,-0.000,-0.707,0.707,0.000,0.362,0.029,0.515,1
sofa,-16.504,3.449,0.569,0.000,1.000,0.000,-1.000,0.000,0.000,0.490,0.439,0.544,2
picture,-14.728,5.654,1.354,0.000,1.000,0.000,-1.000,0.000,0.000,0.401,0.024,0.543,1
picture,-14.722,7.620,1.296,0.000,1.000,0.000,-1.000,0.000,0.000,0.437,0.022,0.583,1
decor,-17.079,6.172,0.399,0.707,-0.707,0.000,0.707,0.707,0.000,0.362,0.206,0.208,0
table,-17.110,6.176,0.103,-1.000,0.000,0.000,0.000,-1.000,0.000,0.492,0.360,0.352,0
picture,-19.335,7.605,1.317,0.000,1.000,0.000,-1.000,0.000,0.000,0.423,0.025,0.588,1
picture,-19.345,5.650,1.278,0.000,1.000,0.000,-1.000,0.000,0.000,0.432,0.023,0.601,1
sofa,-17.127,4.953,0.199,0.000,1.000,0.000,-1.000,0.000,0.000,0.514,1.095,0.461,2
picture,-17.712,1.835,1.742,1.000,0.000,0.000,0.000,1.000,0.000,0.520,0.024,0.446,1
sofa,-18.051,3.409,0.572,0.000,1.000,0.000,-1.000,0.000,0.000,0.487,0.458,0.556,2
picture,-19.342,3.675,1.329,0.000,1.000,0.000,-1.000,0.000,0.000,0.435,0.024,0.585,1
table,-17.279,3.634,0.363,1.000,0.000,0.000,0.000,1.000,0.000,0.475,0.249,0.350,0
