label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-1.660,24.086,8.121,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.860,0.323,0.490,1
picture,-2.597,25.052,5.743,1.000,0.000,0.000,0.000,1.000,0.000,0.281,0.024,0.334,1
table,0.833,22.144,4.440,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.385,0.252,0.277,0
sofa,1.506,22.200,4.635,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.424,0.384,0.468,2
table,2.340,24.541,8.193,0.000,1.000,0.000,-1.000,0.000,0.000,0.564,0.466,0.549,0
picture,-1.032,26.936,5.656,1.000,0.000,0.000,0.000,1.000,0.000,0.685,0.031,0.536,1
picture,-1.604,23.735,5.737,1.000,0.000,0.000,0.000,1.000,0.000,0.348,0.025,0.318,1
table,-0.573,23.332,4.773,0.000,1.000,-0.000,-1.000,0.000,0.000,0.523,0.521,0.636,0
sofa,0.357,22.723,8.188,0.000,1.000,0.000,-1.000,0.000,0.000,0.532,0.577,0.528,2
sofa,-1.859,26.489,7.991,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.482,1.010,0.380,2
chair,2.308,24.149,8.137,0.383,0.924,-0.000,-0.924,0.383,0.000,0.239,0.466,0.484,2
decor,-0.459,22.969,5.183,0.000,1.000,-0.000,-1.000,0.000,0.000,0.149,0.146,0.225,0
tv,-0.854,23.310,6.172,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.256,0.510,0.327,2
picture,1.176,21.889,5.651,1.000,0.000,0.000,0.000,1.000,0.000,1.036,0.019,0.374,1
sofa,0.043,22.345,4.616,1.000,0.000,0.000,0.000,1.000,0.000,0.507,0.447,0.478,2
table,-0.090,23.257,8.169,0.000,1.000,0.000,-1.000,0.000,0.000,0.319,0.159,0.258,0
picture,2.664,25.810,4.469,0.000,1.000,0.000,-1.000,0.000,0.000,0.389,0.111,0.340,1
