label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-2.523,-7.251,1.220,0.000,1.000,0.000,-1.000,0.000,0.000,0.089,0.075,0.070,-1
other,-2.616,-6.661,1.125,0.000,1.000,0.000,-1.000,0.000,0.000,0.933,0.302,0.093,-1
picture,-2.326,-6.703,1.775,0.000,1.000,0.000,-1.000,0.000,0.000,1.011,0.067,0.722,1
picture,-4.880,-5.590,1.635,0.000,1.000,0.000,-1.000,0.000,0.000,0.292,0.014,0.246,1
other,-2.626,-7.356,1.164,0.707,0.707,0.000,-0.707,0.707,0.000,0.094,0.087,0.074,-1
decor,-2.355,-7.613,1.265,0.000,1.000,-0.000,-1.000,0.000,0.000,0.149,0.062,0.198,0
other,-2.649,-6.681,1.012,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.263,0.250,0.102,-1
other,-3.457,-7.958,1.036,1.000,0.000,0.000,0.000,1.000,0.000,0.161,0.095,0.273,-1
picture,-3.843,-5.127,1.778,0.000,1.000,0.000,-1.000,0.000,0.000,0.100,0.021,0.085,1
picture,-3.846,-5.135,1.560,0.000,1.000,-0.000,-1.000,0.000,0.000,0.083,0.022,0.092,1
storage,-2.651,-6.666,0.567,0.000,1.000,0.000,-1.000,0.000,0.000,0.937,0.295,0.493,1
decor,-4.467,-4.905,0.795,1.000,0.000,0.000,0.000,1.000,0.000,0.181,0.102,0.110,0
other,-4.466,-5.153,0.563,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.394,0.237,0.192,-1
other,-2.628,-7.187,1.145,0.707,0.707,0.000,-0.707,0.707,0.000,0.122,0.068,0.046,-1
other,-3.740,-6.060,-0.366,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.648,0.141,0.037,-1
other,-4.455,-7.304,0.320,0.000,1.000,0.000,-1.000,0.000,0.000,0.728,0.421,0.252,-1
