label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,9.345,5.991,1.546,0.000,1.000,0.000,-1.000,0.000,0.000,0.535,0.040,0.464,1
decor,9.391,6.016,2.175,0.000,1.000,0.000,-1.000,0.000,0.000,0.307,0.092,0.162,0
other,9.715,6.557,1.296,1.000,0.000,0.000,0.000,1.000,0.000,0.244,0.079,0.199,-1
decor,9.490,5.755,1.399,0.000,1.000,0.000,-1.000,0.000,0.000,0.527,0.183,0.428,0
picture,10.129,6.608,1.708,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.237,0.028,0.302,1
other,9.681,4.936,0.409,1.000,0.000,0.000,0.000,1.000,0.000,0.378,0.248,0.366,-1
other,9.634,5.959,0.980,0.000,1.000,0.000,-1.000,0.000,0.000,0.681,0.326,0.109,-1
picture,9.317,4.931,1.659,0.000,1.000,-0.000,-1.000,0.000,0.000,0.160,0.012,0.285,1
other,10.110,5.005,0.061,0.000,1.000,0.000,-1.000,0.000,0.000,0.355,0.307,0.020,-1
other,9.880,5.970,0.476,0.000,1.000,0.000,-1.000,0.000,0.000,0.684,0.092,0.436,-1
other,11.236,5.638,0.537,0.000,1.000,-0.000,-1.000,0.000,0.000,0.288,0.191,0.469,-1
