label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-10.860,-13.578,1.628,0.000,1.000,0.000,-1.000,0.000,0.000,0.249,0.040,0.339,1
other,-11.106,-12.584,0.783,0.000,1.000,0.000,-1.000,0.000,0.000,0.231,0.159,0.116,-1
other,-14.274,-12.925,0.357,0.000,1.000,0.000,-1.000,0.000,0.000,1.066,0.598,0.372,-1
table,-12.284,-13.098,3.232,0.707,-0.707,0.000,0.707,0.707,0.000,0.859,0.288,0.431,0
other,-11.150,-14.542,0.803,0.000,1.000,0.000,-1.000,0.000,0.000,0.231,0.157,0.100,-1
other,-11.503,-15.116,1.278,1.000,0.000,-0.000,0.000,1.000,0.000,0.098,0.068,0.218,-1
picture,-10.814,-12.608,1.573,0.000,1.000,0.000,-1.000,0.000,0.000,0.433,0.023,0.524,1
other,-11.108,-12.579,0.470,0.000,1.000,0.000,-1.000,0.000,0.000,0.643,0.289,0.494,-1
picture,-10.916,-14.567,1.606,0.000,1.000,0.000,-1.000,0.000,0.000,0.457,0.074,0.548,1
other,-11.433,-13.545,0.896,0.000,1.000,0.000,-1.000,0.000,0.000,0.330,0.014,0.259,-1
decor,-10.952,-14.124,1.702,0.707,0.707,-0.000,-0.707,0.707,0.000,0.087,0.071,0.150,0
other,-11.415,-11.997,1.277,-1.000,0.000,0.000,0.000,-1.000,0.000,0.111,0.064,0.218,-1
table,-11.156,-14.547,0.483,0.000,1.000,0.000,-1.000,0.000,0.000,0.638,0.287,0.500,0
decor,-10.984,-14.957,1.711,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.064,0.059,0.152,0
other,-13.822,-12.451,0.388,0.000,1.000,0.000,-1.000,0.000,0.000,0.307,0.231,0.289,-1
