label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,4.509,-10.598,0.220,0.000,1.000,0.000,-1.000,0.000,0.000,0.293,0.218,0.129,-1
other,3.728,-11.095,0.383,1.000,0.000,0.000,0.000,1.000,0.000,0.197,0.088,0.522,-1
picture,3.698,-9.127,0.827,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.230,0.015,0.270,1
other,4.552,-10.159,0.407,0.000,1.000,-0.000,-1.000,0.000,0.000,1.046,0.374,1.112,-1
picture,4.994,-10.603,1.359,0.000,1.000,0.000,-1.000,0.000,0.000,0.563,0.021,0.095,1
decor,4.680,-10.108,0.393,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.122,0.115,0.194,0
other,3.645,-9.491,-0.331,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.377,0.263,0.370,-1
other,4.519,-9.964,0.595,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.125,0.083,0.201,-1
other,3.966,-11.568,-0.352,1.000,0.000,0.000,0.000,1.000,0.000,0.791,0.468,0.360,-1
other,4.532,-10.559,0.039,0.000,1.000,0.000,-1.000,0.000,0.000,0.690,0.355,0.260,-1
