label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-17.170,1.490,4.252,0.383,0.924,0.000,-0.924,0.383,0.000,0.692,0.649,0.363,0
picture,-14.253,-3.490,2.144,0.000,1.000,0.000,-1.000,0.000,0.000,0.327,0.050,0.305,1
table,-15.250,-4.533,1.343,1.000,0.000,0.000,0.000,1.000,0.000,0.438,0.222,0.195,0
bed,-16.729,-3.330,0.936,0.000,1.000,0.000,-1.000,0.000,0.000,1.124,1.126,0.513,2
chair,-16.808,1.039,4.229,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.474,0.388,0.346,2
chair,-15.323,0.307,0.878,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.388,0.372,0.260,2
decor,-15.290,-4.402,1.978,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.173,0.103,0.140,0
table,-15.422,-2.476,4.180,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.473,0.945,0.441,0
bed,-17.623,-1.983,4.145,0.707,0.707,-0.000,-0.707,0.707,0.000,0.796,0.804,0.379,2
chair,-17.604,1.245,4.154,0.924,0.383,0.000,-0.383,0.924,0.000,0.468,0.411,0.451,2
other,-17.658,-1.882,3.772,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.211,0.847,0.054,-1
other,-16.881,1.504,3.882,0.000,1.000,0.000,-1.000,0.000,0.000,0.674,0.332,0.084,-1
chair,-17.354,2.185,4.315,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.419,0.341,0.334,2
chair,-17.878,0.332,0.865,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.390,0.363,0.283,2
decor,-14.534,2.867,1.378,0.000,1.000,-0.000,-1.000,0.000,0.000,0.246,0.158,0.531,0
decor,-18.203,-4.398,1.967,1.000,0.000,0.000,0.000,1.000,0.000,0.167,0.120,0.162,0
decor,-16.830,0.400,1.084,0.383,0.924,-0.000,-0.924,0.383,0.000,0.176,0.156,0.256,0
