label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,15.938,-0.925,1.539,0.000,1.000,-0.000,-1.000,0.000,0.000,0.254,0.021,0.285,1
sofa,17.379,1.153,3.331,0.383,0.924,-0.000,-0.924,0.383,0.000,0.427,0.410,0.355,2
sofa,17.868,-1.140,3.274,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.581,0.668,0.406,2
picture,15.936,-0.306,1.524,0.000,1.000,-0.000,-1.000,0.000,0.000,0.237,0.024,0.292,1
picture,17.870,-2.550,1.483,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.524,0.037,0.546,1
storage,19.336,-2.686,1.603,0.000,1.000,0.000,-1.000,0.000,0.000,0.095,0.443,0.753,1
table,17.877,-2.377,0.225,0.000,1.000,-0.000,-1.000,0.000,0.000,0.210,0.863,0.251,0
table,17.908,0.995,3.346,0.707,0.707,0.000,-0.707,0.707,0.000,0.232,0.210,0.046,0
table,19.509,-1.011,3.126,1.000,0.000,0.000,0.000,1.000,0.000,0.586,0.554,0.247,0
bed,18.525,0.103,0.312,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.075,0.789,0.338,2
