label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-3.540,2.645,1.185,0.924,0.383,-0.000,-0.383,0.924,0.000,0.200,0.156,0.420,0
decor,-3.483,1.668,1.106,0.000,1.000,-0.000,-1.000,0.000,0.000,0.210,0.206,0.373,0
decor,-3.568,2.205,1.106,0.000,1.000,0.000,-1.000,0.000,0.000,0.662,0.124,0.458,0
chair,-1.104,3.427,0.545,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.128,0.340,0.525,2
chair,-0.557,3.368,0.545,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.228,0.346,0.534,2
chair,-1.705,3.311,0.538,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.237,0.367,0.528,2
chair,-2.273,2.738,0.518,0.924,0.383,-0.000,-0.383,0.924,0.000,0.440,0.428,0.522,2
chair,-1.583,2.334,0.543,0.000,1.000,0.000,-1.000,0.000,0.000,0.273,0.701,0.532,2
table,-1.193,2.833,0.390,1.000,0.000,0.000,0.000,1.000,0.000,1.243,0.657,0.397,0
chair,-0.955,2.414,0.549,0.000,1.000,0.000,-1.000,0.000,0.000,0.366,0.734,0.536,2
chair,0.007,2.776,0.540,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.335,0.351,0.519,2
chair,-1.050,2.285,0.543,0.707,0.707,-0.000,-0.707,0.707,0.000,0.415,0.220,0.532,2
table,-3.445,2.250,0.441,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.248,0.707,0.452,0
