label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-14.478,7.742,1.291,0.000,1.000,-0.000,-1.000,0.000,0.000,0.360,0.105,0.690,0
table,-13.950,-3.017,0.212,1.000,0.000,0.000,0.000,1.000,0.000,0.257,0.174,0.178,0
decor,-11.040,0.571,0.981,0.000,1.000,0.000,-1.000,0.000,0.000,0.225,0.162,0.086,0
decor,-10.935,0.178,0.996,0.000,1.000,0.000,-1.000,0.000,0.000,0.168,0.061,0.097,0
table,-12.432,-2.962,0.260,1.000,0.000,0.000,0.000,1.000,0.000,0.294,0.237,0.226,0
decor,-12.696,7.716,1.293,0.000,1.000,-0.000,-1.000,0.000,0.000,0.351,0.054,0.687,0
other,-10.897,-1.411,1.312,0.000,1.000,-0.000,-1.000,0.000,0.000,0.904,0.040,1.124,-1
storage,-12.971,4.851,0.633,1.000,0.000,0.000,0.000,1.000,0.000,0.944,0.254,0.635,1
chair,-14.807,-2.744,0.537,0.000,1.000,0.000,-1.000,0.000,0.000,0.945,0.425,0.504,2
other,-12.171,3.589,1.622,0.000,1.000,0.000,-1.000,0.000,0.000,0.685,0.091,0.659,-1
storage,-11.124,0.477,0.481,0.000,1.000,0.000,-1.000,0.000,0.000,0.881,0.254,0.457,1
chair,-13.499,4.082,0.527,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.211,0.202,0.119,2
other,-15.659,0.488,1.041,0.000,1.000,-0.000,-1.000,0.000,0.000,0.452,0.027,0.982,-1
other,-15.643,2.865,1.287,0.000,1.000,0.000,-1.000,0.000,0.000,0.633,0.048,0.530,-1
chair,-13.199,-2.764,0.553,0.000,1.000,0.000,-1.000,0.000,0.000,0.946,0.359,0.507,2
chair,-11.605,-2.793,0.549,0.000,1.000,0.000,-1.000,0.000,0.000,0.913,0.405,0.518,2
chair,-12.951,4.012,0.501,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.223,0.147,0.132,2
