label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,11.276,0.943,0.340,1.000,0.000,0.000,0.000,1.000,0.000,0.226,0.165,0.237,2
picture,4.562,1.312,1.532,0.000,1.000,-0.000,-1.000,0.000,0.000,0.312,0.026,0.407,1
other,6.029,1.490,0.904,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.133,0.316,0.073,-1
storage,6.022,1.758,0.459,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.124,0.048,0.419,1
storage,8.136,3.240,1.221,1.000,0.000,0.000,0.000,1.000,0.000,0.771,0.306,1.160,1
chair,10.797,1.559,0.463,0.000,1.000,-0.000,-1.000,0.000,0.000,0.234,0.227,0.367,2
table,11.864,1.272,0.496,0.000,1.000,0.000,-1.000,0.000,0.000,0.551,0.039,0.478,0
storage,7.860,2.991,1.377,-1.000,0.000,0.000,-0.000,-1.000,0.000,10.062,1.694,1.258,1
chair,10.790,0.980,0.344,1.000,0.000,0.000,0.000,1.000,0.000,0.230,0.189,0.237,2
other,10.944,1.264,1.993,0.924,0.383,-0.000,-0.383,0.924,0.000,0.087,0.082,0.169,-1
other,9.728,1.468,0.791,0.000,1.000,0.000,-1.000,0.000,0.000,0.198,0.166,0.120,-1
storage,9.868,3.338,1.778,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.806,0.219,0.349,1
picture,5.519,3.535,1.663,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.309,0.036,0.367,1
storage,9.574,3.297,0.477,1.000,0.000,0.000,0.000,1.000,0.000,2.083,0.352,0.448,1
picture,4.558,1.405,1.517,0.000,1.000,-0.000,-1.000,0.000,0.000,0.227,0.033,0.436,1
storage,10.242,1.279,0.451,1.000,0.000,0.000,0.000,1.000,0.000,1.693,0.501,0.447,1
other,9.860,3.270,0.929,1.000,0.000,0.000,0.000,1.000,0.000,1.786,0.295,0.064,-1
other,10.211,1.272,0.847,1.000,0.000,0.000,0.000,1.000,0.000,1.661,0.494,0.127,-1
storage,6.044,1.356,1.792,0.000,1.000,0.000,-1.000,0.000,0.000,0.157,1.132,0.257,1
chair,11.313,1.544,0.432,1.000,0.000,0.000,0.000,1.000,0.000,0.219,0.205,0.336,2
other,11.376,1.269,1.993,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.091,0.083,0.175,-1
other,10.435,1.285,1.978,0.924,0.383,-0.000,-0.383,0.924,0.000,0.087,0.084,0.169,-1
other,6.716,1.490,0.801,0.000,1.000,0.000,-1.000,0.000,0.000,0.206,0.158,0.106,-1
other,9.309,1.458,0.803,0.000,1.000,0.000,-1.000,0.000,0.000,0.206,0.157,0.107,-1
storage,8.088,1.716,0.935,1.000,0.000,0.000,0.000,1.000,0.000,0.518,0.199,0.921,1
