label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-12.933,-4.421,0.274,1.000,0.000,-0.000,0.000,1.000,0.000,0.592,1.139,0.465,2
table,-11.211,-2.374,0.167,0.707,-0.707,0.000,0.707,0.707,0.000,0.296,0.290,0.357,0
table,-14.899,-6.276,0.165,0.000,1.000,0.000,-1.000,0.000,0.000,0.867,0.362,0.355,0
other,-7.976,-4.918,0.753,0.000,1.000,0.000,-1.000,0.000,0.000,1.731,0.557,0.924,-1
decor,-14.418,-2.183,0.204,0.000,1.000,0.000,-1.000,0.000,0.000,0.491,0.186,0.404,0
table,-11.634,-4.482,0.043,0.000,1.000,0.000,-1.000,0.000,0.000,0.768,0.385,0.214,0
other,-11.187,-4.264,-0.158,0.000,1.000,0.000,-1.000,0.000,0.000,2.072,1.530,0.044,-1
sofa,-10.334,-6.288,0.284,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.647,0.710,0.456,2
sofa,-10.516,-2.513,0.296,-0.383,-0.924,-0.000,0.924,-0.383,-0.000,0.477,0.397,0.381,2
decor,-8.021,-3.880,0.507,0.707,-0.707,0.000,0.707,0.707,0.000,0.205,0.189,0.204,0
storage,-8.862,-1.970,1.291,-0.707,-0.707,-0.000,0.707,-0.707,0.000,0.188,1.178,1.483,1
picture,-7.855,-5.126,2.306,0.000,1.000,0.000,-1.000,0.000,0.000,0.613,0.053,0.460,1
sofa,-11.942,-2.510,0.249,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.490,0.416,0.420,2
decor,-8.267,-6.350,0.495,0.000,1.000,0.000,-1.000,0.000,0.000,0.045,0.035,0.159,0
