label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-0.717,-14.878,1.819,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.162,0.134,0.155,0
decor,0.784,-17.148,0.987,1.000,0.000,0.000,0.000,1.000,0.000,0.136,0.100,0.185,0
decor,1.775,-16.117,1.124,0.000,1.000,-0.000,-1.000,0.000,0.000,0.256,0.183,0.360,0
sofa,-3.412,-16.591,0.201,0.000,1.000,0.000,-1.000,0.000,0.000,0.659,0.233,0.207,2
picture,-0.350,-17.199,1.836,1.000,0.000,0.000,0.000,1.000,0.000,0.619,0.047,0.692,1
tv,-0.707,-14.693,1.048,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.047,0.233,0.160,2
chair,-0.674,-15.514,0.550,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.331,0.355,0.520,2
other,-2.547,-15.848,-0.464,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.064,0.051,0.075,-1
storage,-0.757,-14.521,1.783,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.719,0.119,0.414,1
storage,-0.009,-15.777,0.508,1.000,0.000,0.000,0.000,1.000,0.000,1.983,1.475,0.491,1
other,0.481,-15.716,-0.361,0.000,1.000,0.000,-1.000,0.000,0.000,0.127,0.090,0.004,-1
table,-0.783,-14.933,0.440,1.000,0.000,0.000,0.000,1.000,0.000,1.336,0.552,0.413,0
