label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-4.353,10.155,4.326,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.355,0.388,0.489,2
chair,-4.419,-1.931,4.289,0.383,-0.924,-0.000,0.924,0.383,-0.000,1.093,0.456,0.440,2
chair,-4.383,8.737,4.315,0.000,1.000,0.000,-1.000,0.000,0.000,0.353,0.356,0.490,2
table,-4.576,6.881,4.200,0.000,1.000,-0.000,-1.000,0.000,0.000,0.257,0.149,0.380,0
other,-4.397,5.872,4.257,0.000,1.000,-0.000,-1.000,0.000,0.000,0.445,0.322,0.448,-1
table,-8.189,9.014,0.375,0.000,1.000,0.000,-1.000,0.000,0.000,0.969,0.327,0.390,0
chair,-7.184,9.392,0.400,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.467,0.433,0.399,2
chair,-7.200,8.270,0.391,-1.000,0.000,0.000,0.000,-1.000,0.000,0.435,0.444,0.390,2
chair,-4.465,3.951,4.253,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.275,0.326,0.442,2
chair,-8.202,7.306,0.581,0.000,1.000,0.000,-1.000,0.000,0.000,0.503,0.254,0.252,2
table,-4.380,9.474,4.263,1.000,0.000,0.000,0.000,1.000,0.000,0.291,0.218,0.427,0
table,-4.584,4.830,4.165,0.000,1.000,-0.000,-1.000,0.000,0.000,0.257,0.137,0.362,0
chair,-8.226,10.373,0.474,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.509,0.353,0.350,2
decor,-5.319,11.473,0.792,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.478,0.240,0.791,0
