label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-37.474,-8.736,3.280,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.178,0.701,0.187,2
storage,-36.862,-12.988,3.446,0.707,-0.707,0.000,0.707,0.707,0.000,0.799,0.085,0.435,1
picture,-38.296,-12.220,4.979,0.707,-0.707,0.000,0.707,0.707,0.000,0.563,0.166,1.094,1
other,-35.185,-10.974,3.433,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.977,0.478,0.326,-1
picture,-38.683,-9.274,2.676,0.000,1.000,0.000,-1.000,0.000,0.000,12.507,7.020,3.974,1
other,-37.091,-8.342,3.515,0.707,-0.707,0.000,0.707,0.707,0.000,0.170,0.159,0.090,-1
other,-37.819,-8.912,3.502,0.707,0.707,0.000,-0.707,0.707,0.000,0.207,0.059,0.064,-1
picture,-39.356,-11.208,4.983,0.707,-0.707,0.000,0.707,0.707,0.000,0.462,0.021,0.814,1
other,-37.505,-8.603,3.505,0.707,0.707,0.000,-0.707,0.707,0.000,0.221,0.060,0.066,-1
chair,-37.835,-11.700,3.319,0.707,-0.707,0.000,0.707,0.707,0.000,0.189,0.169,0.253,2
other,-39.157,-10.983,3.849,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.744,0.293,0.058,-1
other,-37.016,-13.141,3.869,0.707,-0.707,0.000,0.707,0.707,0.000,0.793,0.292,0.067,-1
