label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,11.788,-2.176,0.466,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.366,0.310,0.440,2
other,10.995,-4.047,0.877,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.068,0.118,0.047,-1
chair,11.900,-1.423,0.459,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.341,0.330,0.446,2
other,11.282,-1.616,1.896,1.000,0.000,0.000,0.000,1.000,0.000,0.189,0.103,0.247,-1
picture,9.945,-0.315,1.517,0.000,1.000,-0.000,-1.000,0.000,0.000,0.590,0.035,0.638,1
chair,11.117,-2.376,0.466,0.383,0.924,-0.000,-0.924,0.383,0.000,0.381,0.365,0.446,2
chair,10.791,-1.257,0.440,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.398,0.331,0.448,2
storage,11.007,-3.966,0.462,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.054,0.036,0.443,1
chair,10.689,-1.870,0.452,0.707,0.707,-0.000,-0.707,0.707,0.000,0.377,0.362,0.454,2
table,11.261,-1.492,0.397,0.383,0.924,0.000,-0.924,0.383,0.000,0.647,0.535,0.389,0
chair,11.495,-1.073,0.459,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.384,0.339,0.444,2
