label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-1.046,-1.485,0.435,0.000,1.000,0.000,-1.000,0.000,0.000,0.803,0.272,0.476,1
chair,0.637,-1.362,0.343,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.323,0.240,0.348,2
chair,1.769,-0.804,0.496,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.123,0.290,0.444,2
chair,0.724,0.416,0.448,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.270,0.226,0.472,2
chair,1.209,-1.745,0.355,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.268,0.186,0.347,2
table,1.493,-1.309,0.675,1.000,0.000,0.000,0.000,1.000,0.000,0.926,0.607,0.144,0
chair,1.708,-1.759,0.367,0.000,1.000,0.000,-1.000,0.000,0.000,0.148,0.305,0.375,2
chair,3.043,0.466,0.464,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.348,0.273,0.477,2
other,-1.218,-1.520,1.351,0.000,1.000,0.000,-1.000,0.000,0.000,0.599,0.087,0.457,-1
chair,1.322,-0.851,0.516,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.218,0.310,0.430,2
chair,2.402,-1.272,0.462,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.271,0.215,0.473,2
