label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,2.775,9.815,0.627,1.000,0.000,0.000,0.000,1.000,0.000,0.363,0.305,0.271,2
decor,6.412,10.489,2.089,0.000,1.000,-0.000,-1.000,0.000,0.000,0.214,0.027,0.214,0
chair,2.711,8.624,0.618,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.344,0.306,0.275,2
chair,6.064,8.019,0.761,-1.000,0.000,0.000,0.000,-1.000,0.000,0.375,0.432,0.742,2
chair,3.378,10.501,0.638,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.323,0.261,0.269,2
chair,2.743,9.303,0.629,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.354,0.354,0.276,2
decor,6.420,8.135,2.104,0.000,1.000,-0.000,-1.000,0.000,0.000,0.225,0.030,0.229,0
chair,3.944,9.128,0.640,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.330,0.311,0.254,2
chair,3.379,7.898,0.636,0.000,1.000,0.000,-1.000,0.000,0.000,0.355,0.269,0.266,2
chair,3.955,8.587,0.639,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.305,0.303,0.262,2
chair,3.966,9.840,0.643,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.319,0.257,0.257,2
storage,6.184,9.266,0.862,0.000,1.000,-0.000,-1.000,0.000,0.000,0.567,0.252,0.838,1
picture,1.622,9.288,1.671,0.000,1.000,0.000,-1.000,0.000,0.000,0.902,0.072,0.871,1
table,3.370,12.997,0.438,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.973,0.317,0.406,0
chair,6.061,10.621,0.764,-1.000,0.000,0.000,0.000,-1.000,0.000,0.369,0.420,0.730,2
other,3.377,9.317,1.962,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.305,0.288,0.122,-1
