label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-8.619,-10.421,1.493,0.000,1.000,-0.000,-1.000,0.000,0.000,0.234,0.009,0.352,1
picture,-8.401,-3.612,1.761,0.000,1.000,-0.000,-1.000,0.000,0.000,0.355,0.015,0.419,1
table,-4.807,-7.870,0.259,0.707,0.707,0.000,-0.707,0.707,0.000,0.608,0.237,0.247,0
picture,-8.582,-6.521,1.840,0.000,1.000,0.000,-1.000,0.000,0.000,0.418,0.026,0.339,1
picture,-8.575,-9.618,1.479,0.000,1.000,-0.000,-1.000,0.000,0.000,0.201,0.026,0.271,1
chair,-3.414,-7.011,0.460,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.548,0.455,0.449,2
table,-5.649,-10.349,0.456,0.000,1.000,0.000,-1.000,0.000,0.000,0.508,0.036,0.454,0
chair,-2.652,-5.976,0.488,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.518,0.528,0.453,2
table,-2.821,-6.425,0.039,0.707,0.707,0.000,-0.707,0.707,0.000,0.502,0.389,0.032,0
sofa,-2.450,-1.235,0.249,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.272,0.670,0.235,2
sofa,-4.014,-3.544,0.241,0.707,0.707,-0.000,-0.707,0.707,0.000,0.261,1.011,0.231,2
picture,-8.413,-5.029,1.761,0.000,1.000,-0.000,-1.000,0.000,0.000,0.372,0.013,0.419,1
table,-7.945,1.631,0.359,0.000,1.000,0.000,-1.000,0.000,0.000,1.339,0.426,0.381,0
chair,-5.667,-0.695,0.441,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.480,0.478,0.435,2
other,-1.851,0.848,0.623,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.745,0.465,0.619,-1
sofa,-2.554,-2.302,0.262,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.291,1.130,0.227,2
table,-7.857,-4.261,0.452,0.000,1.000,0.000,-1.000,0.000,0.000,1.306,0.556,0.448,0
