label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-7.339,-4.802,0.579,0.000,1.000,-0.000,-1.000,0.000,0.000,0.479,0.401,0.486,2
other,-8.077,-6.048,-0.336,1.000,0.000,0.000,0.000,1.000,0.000,0.648,0.130,0.030,-1
decor,-5.577,-3.925,0.291,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.397,0.367,0.207,0
table,-7.236,-6.760,0.641,1.000,0.000,0.000,0.000,1.000,0.000,0.905,0.431,0.293,0
decor,-5.333,-7.203,1.178,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.130,0.120,0.123,0
chair,-7.297,-7.655,0.624,0.000,1.000,-0.000,-1.000,0.000,0.000,0.381,0.267,0.502,2
picture,-5.038,-3.952,1.701,0.000,1.000,-0.000,-1.000,0.000,0.000,0.175,0.011,0.226,1
picture,-5.593,-1.352,1.337,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.226,0.053,0.236,1
storage,-5.614,-6.549,0.589,0.000,1.000,-0.000,-1.000,0.000,0.000,0.278,0.063,0.361,1
other,-5.344,-7.681,0.976,0.000,1.000,0.000,-1.000,0.000,0.000,0.263,0.203,0.083,-1
table,-7.463,-3.391,0.332,0.000,1.000,0.000,-1.000,0.000,0.000,0.406,0.324,0.226,0
other,-7.233,-3.706,0.121,0.000,1.000,0.000,-1.000,0.000,0.000,1.388,0.933,0.046,-1
sofa,-6.353,-3.403,0.571,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.484,0.405,0.494,2
table,-6.523,-4.259,0.459,0.000,1.000,-0.000,-1.000,0.000,0.000,0.295,0.293,0.383,0
other,-6.026,-6.095,-0.354,1.000,0.000,0.000,0.000,1.000,0.000,0.577,0.130,0.036,-1
other,-5.288,-5.072,0.768,0.000,1.000,0.000,-1.000,0.000,0.000,0.994,0.286,0.679,-1
picture,-5.030,-7.198,1.654,0.000,1.000,-0.000,-1.000,0.000,0.000,0.190,0.010,0.244,1
picture,-8.397,-8.029,1.499,1.000,0.000,0.000,0.000,1.000,0.000,0.445,0.033,0.504,1
picture,-5.600,-1.370,1.807,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.232,0.034,0.256,1
