label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,12.023,-5.038,0.864,1.000,0.000,0.000,0.000,1.000,0.000,0.174,0.095,0.302,0
decor,9.127,-5.016,1.029,1.000,0.000,0.000,0.000,1.000,0.000,0.557,0.128,0.127,0
picture,8.581,-3.347,1.769,0.000,1.000,-0.000,-1.000,0.000,0.000,0.220,0.015,0.321,1
chair,13.245,-3.862,0.469,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.462,0.421,0.449,2
decor,12.014,-5.028,0.640,0.000,1.000,-0.000,-1.000,0.000,0.000,0.080,0.041,0.113,0
picture,8.598,-4.023,1.456,0.000,1.000,-0.000,-1.000,0.000,0.000,0.354,0.030,0.528,1
decor,8.729,-4.855,0.407,0.000,1.000,0.000,-1.000,0.000,0.000,0.265,0.150,0.206,0
decor,9.183,-5.032,1.379,1.000,0.000,0.000,0.000,1.000,0.000,0.407,0.125,0.150,0
storage,10.397,-4.848,0.316,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.812,0.294,0.317,1
storage,9.182,-4.982,1.064,0.000,1.000,0.000,-1.000,0.000,0.000,0.159,0.609,0.218,1
sofa,10.285,-1.871,0.350,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.379,1.711,0.342,2
storage,10.387,-4.997,1.847,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.812,0.183,0.324,1
other,10.912,-2.538,0.030,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.593,1.063,0.024,-1
table,12.098,-1.173,0.558,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.181,0.164,0.062,0
table,10.878,-2.657,0.223,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.518,0.513,0.212,0
decor,9.166,-4.891,0.348,1.000,0.000,0.000,0.000,1.000,0.000,0.268,0.230,0.144,0
tv,10.935,-5.088,1.000,0.000,1.000,0.000,-1.000,0.000,0.000,0.063,0.602,0.402,2
