label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-13.622,-3.965,1.588,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.263,0.021,0.414,1
chair,-13.168,-6.692,0.761,0.924,0.383,-0.000,-0.383,0.924,0.000,0.242,0.470,0.169,2
storage,-11.250,-4.324,1.358,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.375,1.733,1.355,1
chair,-14.679,-7.159,0.620,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.291,0.293,0.226,2
chair,-15.483,-7.164,0.611,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.300,0.300,0.232,2
chair,-15.595,-8.011,0.625,0.707,0.707,-0.000,-0.707,0.707,0.000,0.278,0.296,0.226,2
storage,-11.482,-9.418,2.103,0.000,1.000,0.000,-1.000,0.000,0.000,1.460,1.163,0.823,1
storage,-10.499,-6.335,2.184,0.000,1.000,-0.000,-1.000,0.000,0.000,0.534,0.179,0.843,1
table,-12.728,-7.396,0.599,0.000,1.000,0.000,-1.000,0.000,0.000,1.525,0.561,0.590,0
decor,-11.394,-10.513,1.098,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.323,0.229,0.126,0
storage,-11.180,-8.622,0.494,0.383,0.924,0.000,-0.924,0.383,0.000,2.673,0.855,0.489,1
chair,-13.235,-8.209,0.838,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.283,0.257,0.223,2
other,-11.490,-8.287,0.870,0.000,1.000,0.000,-1.000,0.000,0.000,2.457,1.154,0.167,-1
chair,-14.653,-8.035,0.618,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.280,0.295,0.234,2
table,-15.076,-7.550,0.549,0.383,0.924,-0.000,-0.924,0.383,0.000,0.209,0.164,0.370,0
chair,-13.216,-7.350,0.762,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.285,0.249,0.168,2
storage,-11.604,-4.638,1.160,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.935,0.056,1.028,1
decor,-12.188,-10.552,1.134,1.000,0.000,0.000,0.000,1.000,0.000,0.112,0.089,0.152,0
