label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,1.247,-8.941,-2.233,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.312,0.256,0.221,0
chair,0.573,-8.432,-2.847,0.924,0.383,-0.000,-0.383,0.924,0.000,0.179,0.321,0.532,2
other,1.626,-8.083,-2.591,0.000,1.000,0.000,-1.000,0.000,0.000,0.435,0.271,0.156,-1
chair,0.631,-9.045,-2.844,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.258,0.455,0.523,2
chair,0.749,-7.246,-2.780,1.000,0.000,0.000,0.000,1.000,0.000,0.275,0.270,0.469,2
chair,0.556,-7.773,-2.780,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.089,0.218,0.469,2
storage,1.252,-5.376,-2.868,1.000,0.000,0.000,0.000,1.000,0.000,0.684,0.330,0.476,1
storage,2.922,-6.408,-2.364,0.000,1.000,-0.000,-1.000,0.000,0.000,0.488,0.094,0.937,1
storage,3.027,-8.768,-2.908,0.000,1.000,0.000,-1.000,0.000,0.000,0.751,0.062,0.463,1
decor,3.422,-9.042,-2.288,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.305,0.194,0.145,0
storage,1.235,-5.242,-1.404,1.000,0.000,0.000,0.000,1.000,0.000,0.688,0.191,0.553,1
storage,3.415,-8.223,-1.411,0.000,1.000,0.000,-1.000,0.000,0.000,1.334,0.202,0.560,1
other,3.307,-8.207,-2.395,0.000,1.000,0.000,-1.000,0.000,0.000,1.325,0.328,0.050,-1
storage,3.281,-6.053,-2.077,0.000,1.000,-0.000,-1.000,0.000,0.000,1.002,0.349,1.160,1
storage,3.035,-7.398,-2.679,0.000,1.000,-0.000,-1.000,0.000,0.000,0.606,0.060,0.652,1
