label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,5.439,-3.292,1.031,0.000,1.000,-0.000,-1.000,0.000,0.000,0.081,0.076,0.111,0
decor,4.865,-0.292,1.656,0.000,1.000,-0.000,-1.000,0.000,0.000,0.100,0.092,0.146,0
decor,5.116,-0.091,1.091,1.000,0.000,0.000,0.000,1.000,0.000,0.549,0.095,0.173,0
table,7.402,-1.431,0.407,0.000,1.000,0.000,-1.000,0.000,0.000,0.885,0.549,0.405,0
chair,8.186,-1.869,0.572,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.474,0.433,0.584,2
decor,7.725,-3.373,1.906,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.156,0.111,0.183,0
decor,2.837,-1.223,1.119,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.304,0.175,0.199,0
decor,5.829,-3.291,1.222,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.265,0.135,0.302,0
other,5.136,-0.933,0.869,0.000,1.000,0.000,-1.000,0.000,0.000,0.928,0.639,0.113,-1
chair,5.722,-0.184,0.515,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.257,0.138,0.518,2
other,3.163,-0.476,0.877,0.000,1.000,0.000,-1.000,0.000,0.000,1.001,0.509,0.073,-1
decor,4.645,-3.341,1.905,1.000,0.000,0.000,0.000,1.000,0.000,0.175,0.074,0.184,0
picture,6.169,-0.226,-0.961,1.000,0.000,0.000,0.000,1.000,0.000,0.344,0.040,0.370,1
decor,6.378,-3.067,1.051,1.000,0.000,0.000,0.000,1.000,0.000,0.263,0.236,0.131,0
tv,3.357,-3.138,1.852,0.000,1.000,0.000,-1.000,0.000,0.000,0.240,0.303,0.238,2
picture,4.254,0.730,1.463,1.000,0.000,0.000,0.000,1.000,0.000,0.699,0.029,0.422,1
storage,3.309,-0.249,1.936,0.707,0.707,0.000,-0.707,0.707,0.000,1.078,0.751,0.625,1
picture,4.234,0.732,1.489,1.000,0.000,0.000,0.000,1.000,0.000,0.727,0.069,0.456,1
other,2.916,-0.755,0.864,1.000,0.000,0.000,0.000,1.000,0.000,0.261,0.186,0.167,-1
chair,8.276,-1.173,0.746,-1.000,0.000,0.000,0.000,-1.000,0.000,0.412,0.414,0.409,2
chair,7.436,-2.495,0.558,0.000,1.000,-0.000,-1.000,0.000,0.000,0.413,0.334,0.569,2
storage,2.985,-1.834,1.247,0.000,1.000,-0.000,-1.000,0.000,0.000,0.536,0.372,1.249,1
other,6.279,-2.557,3.512,0.000,1.000,0.000,-1.000,0.000,0.000,0.806,0.089,0.437,-1
decor,5.333,-0.063,1.594,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.087,0.058,0.068,0
storage,5.030,-0.261,1.598,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.147,0.280,0.094,1
decor,4.838,-0.055,1.607,1.000,0.000,0.000,0.000,1.000,0.000,0.065,0.050,0.069,0
other,4.812,-2.610,3.516,1.000,0.000,0.000,0.000,1.000,0.000,0.375,0.254,0.437,-1
storage,3.241,-1.841,1.077,0.000,1.000,-0.000,-1.000,0.000,0.000,0.405,0.100,1.086,1
decor,6.600,-3.337,1.161,0.000,1.000,-0.000,-1.000,0.000,0.000,0.160,0.142,0.227,0
decor,5.094,-0.082,1.635,0.000,1.000,0.000,-1.000,0.000,0.000,0.075,0.056,0.075,0
other,5.442,-1.443,1.776,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.074,0.072,0.230,-1
chair,7.384,-0.347,0.561,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.361,0.386,0.571,2
other,4.880,-3.077,0.909,1.000,0.000,0.000,0.000,1.000,0.000,1.855,0.350,0.183,-1
storage,3.802,0.127,0.809,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.543,0.167,0.811,1
