label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,0.244,-7.600,0.377,0.000,1.000,0.000,-1.000,0.000,0.000,0.518,0.548,0.351,2
other,-2.602,-6.428,1.043,0.924,0.383,-0.000,-0.383,0.924,0.000,0.467,0.388,1.007,-1
other,-1.202,-7.631,0.046,0.000,1.000,0.000,-1.000,0.000,0.000,1.157,0.731,0.027,-1
decor,1.863,-10.834,0.925,0.000,1.000,-0.000,-1.000,0.000,0.000,0.083,0.073,0.161,0
picture,1.930,-13.449,1.646,0.000,1.000,0.000,-1.000,0.000,0.000,0.618,0.032,0.414,1
table,-1.125,-5.688,0.160,1.000,0.000,0.000,0.000,1.000,0.000,0.781,0.379,0.134,0
decor,1.671,-9.072,0.386,0.000,1.000,0.000,-1.000,0.000,0.000,0.694,0.354,0.362,0
other,-0.736,-12.628,-0.383,0.707,0.707,0.000,-0.707,0.707,0.000,0.136,0.106,0.017,-1
other,-0.679,-9.787,-0.386,0.000,1.000,0.000,-1.000,0.000,0.000,0.144,0.096,0.019,-1
sofa,-2.478,-7.601,0.395,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.563,0.520,0.358,2
decor,1.717,-10.709,0.839,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.045,0.040,0.075,0
decor,1.714,-10.971,0.856,0.000,1.000,-0.000,-1.000,0.000,0.000,0.052,0.041,0.091,0
picture,1.928,-12.277,1.611,0.000,1.000,0.000,-1.000,0.000,0.000,0.554,0.034,0.399,1
table,1.752,-12.373,0.443,0.000,1.000,0.000,-1.000,0.000,0.000,2.052,0.205,0.361,0
tv,-0.767,-14.218,1.105,1.000,0.000,0.000,0.000,1.000,0.000,0.851,0.038,0.535,2
other,1.075,-7.781,-0.401,0.000,1.000,0.000,-1.000,0.000,0.000,0.194,0.188,0.049,-1
other,-1.947,-11.215,1.761,0.383,0.924,0.000,-0.924,0.383,0.000,0.210,0.205,0.152,-1
other,1.085,-10.628,-0.395,0.000,1.000,0.000,-1.000,0.000,0.000,0.197,0.191,0.041,-1
