label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
tv,20.037,0.593,1.586,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.026,0.191,0.241,2
chair,16.579,1.114,0.525,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.425,0.470,0.500,2
chair,19.015,3.419,0.418,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.251,0.264,0.412,2
storage,16.282,-2.372,1.582,0.000,1.000,0.000,-1.000,0.000,0.000,0.291,1.425,1.575,1
chair,18.552,-2.302,0.430,0.000,1.000,-0.000,-1.000,0.000,0.000,0.261,0.222,0.416,2
chair,17.031,0.496,0.518,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.367,0.299,0.506,2
table,20.087,1.467,0.415,0.000,1.000,0.000,-1.000,0.000,0.000,0.549,0.403,0.421,0
chair,18.545,3.478,0.428,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.297,0.245,0.420,2
picture,20.131,-2.050,1.237,0.383,0.924,-0.000,-0.924,0.383,0.000,0.158,0.090,0.193,1
chair,15.645,0.135,0.533,0.707,0.707,-0.000,-0.707,0.707,0.000,0.371,0.333,0.500,2
other,19.852,2.891,0.535,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.434,0.361,0.530,-1
chair,16.436,-0.138,0.531,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.463,0.338,0.505,2
picture,20.200,-1.706,1.223,0.000,1.000,0.000,-1.000,0.000,0.000,0.297,0.197,0.183,1
table,16.235,0.449,0.681,0.000,1.000,0.000,-1.000,0.000,0.000,0.922,0.821,0.166,0
chair,19.129,-2.245,0.444,0.000,1.000,-0.000,-1.000,0.000,0.000,0.265,0.222,0.399,2
storage,16.270,3.467,1.599,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.314,1.413,1.593,1
picture,20.376,-1.825,1.731,0.000,1.000,-0.000,-1.000,0.000,0.000,0.543,0.041,0.668,1
chair,15.689,1.016,0.525,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.353,0.324,0.498,2
other,20.110,0.596,0.543,1.000,0.000,0.000,0.000,1.000,0.000,0.303,0.225,0.547,-1
table,20.023,-0.578,0.414,0.000,1.000,0.000,-1.000,0.000,0.000,0.597,0.354,0.408,0
