label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,5.212,0.636,1.465,0.000,1.000,-0.000,-1.000,0.000,0.000,1.294,0.177,1.469,1
storage,4.247,2.686,1.380,1.000,0.000,0.000,0.000,1.000,0.000,0.856,0.329,1.378,1
chair,4.356,0.474,0.679,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.336,0.301,0.353,2
table,5.319,-0.586,3.821,0.000,1.000,0.000,-1.000,0.000,0.000,0.423,0.218,0.391,0
chair,3.269,0.813,0.545,1.000,0.000,0.000,0.000,1.000,0.000,0.334,0.253,0.474,2
chair,3.258,0.157,0.528,1.000,0.000,0.000,0.000,1.000,0.000,0.307,0.227,0.495,2
decor,4.909,2.801,1.130,0.000,1.000,0.000,-1.000,0.000,0.000,0.213,0.191,0.209,0
picture,5.546,0.041,1.032,0.000,1.000,0.000,-1.000,0.000,0.000,0.327,0.010,0.257,1
decor,2.228,-0.553,1.284,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.696,0.498,1.280,0
picture,5.546,0.126,1.815,0.000,1.000,-0.000,-1.000,0.000,0.000,0.274,0.013,0.365,1
table,3.797,0.492,0.409,0.000,1.000,0.000,-1.000,0.000,0.000,0.688,0.425,0.405,0
picture,1.601,0.526,2.087,0.000,1.000,0.000,-1.000,0.000,0.000,1.030,0.043,0.452,1
picture,5.536,0.106,1.890,0.000,1.000,-0.000,-1.000,0.000,0.000,0.277,0.028,0.293,1
table,5.266,2.066,3.825,0.000,1.000,0.000,-1.000,0.000,0.000,0.407,0.245,0.403,0
picture,5.532,0.915,1.358,0.000,1.000,-0.000,-1.000,0.000,0.000,0.235,0.024,0.316,1
storage,1.871,0.542,3.878,0.000,1.000,0.000,-1.000,0.000,0.000,0.893,0.310,0.447,1
picture,5.536,0.893,1.357,0.000,1.000,-0.000,-1.000,0.000,0.000,0.308,0.015,0.379,1
sofa,1.933,-0.755,3.928,0.924,0.383,-0.000,-0.383,0.924,0.000,0.488,0.550,0.518,2
