label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-4.498,7.084,0.307,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.253,0.794,0.235,2
decor,-3.022,5.284,0.503,0.000,1.000,-0.000,-1.000,0.000,0.000,0.319,0.272,0.471,0
picture,-2.746,6.682,-2.148,0.000,1.000,-0.000,-1.000,0.000,0.000,0.548,0.219,0.961,1
table,-5.685,6.220,-2.787,1.000,0.000,0.000,0.000,1.000,0.000,0.701,0.279,0.284,0
picture,-5.828,5.020,-1.996,1.000,0.000,0.000,0.000,1.000,0.000,0.278,0.058,0.308,1
table,-4.059,7.101,0.727,0.000,1.000,0.000,-1.000,0.000,0.000,1.191,0.522,0.062,0
picture,-2.724,7.760,-2.141,0.000,1.000,-0.000,-1.000,0.000,0.000,0.555,0.229,0.955,1
chair,-3.534,7.113,0.456,0.000,1.000,0.000,-1.000,0.000,0.000,0.292,0.200,0.043,2
table,-5.649,5.509,-2.591,1.000,0.000,0.000,0.000,1.000,0.000,0.827,0.548,0.511,0
chair,-3.529,7.655,0.468,0.000,1.000,0.000,-1.000,0.000,0.000,0.287,0.176,0.041,2
table,-3.140,5.588,-2.948,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.419,0.410,0.166,0
chair,-3.517,6.524,0.331,0.000,1.000,0.000,-1.000,0.000,0.000,0.297,0.218,0.162,2
