label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,3.797,3.263,5.631,1.000,0.000,0.000,0.000,1.000,0.000,0.321,0.061,1.310,1
decor,8.044,0.790,3.465,0.383,0.924,0.000,-0.924,0.383,0.000,0.288,0.252,0.222,0
other,4.151,0.997,4.677,0.000,1.000,0.000,-1.000,0.000,0.000,1.266,0.850,0.521,-1
decor,5.650,0.604,4.635,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.240,0.222,0.461,0
sofa,6.050,1.227,4.591,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.956,0.449,0.434,2
sofa,7.027,3.194,4.580,0.707,0.707,-0.000,-0.707,0.707,0.000,0.377,0.403,0.428,2
tv,8.345,2.663,5.185,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.091,0.253,0.209,2
sofa,9.558,1.237,4.432,-0.707,0.707,-0.000,-0.707,-0.707,0.000,0.225,0.557,0.271,2
picture,7.730,3.528,5.982,-0.707,0.707,0.000,-0.707,-0.707,0.000,1.262,0.153,1.065,1
decor,6.927,0.389,4.364,0.000,1.000,0.000,-1.000,0.000,0.000,0.259,0.149,0.218,0
picture,4.249,3.883,6.114,0.707,0.707,-0.000,-0.707,0.707,0.000,0.561,0.326,1.023,1
decor,3.627,0.037,5.816,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.321,0.303,1.125,0
