label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
bed,20.816,3.097,0.807,0.383,-0.924,-0.000,0.924,0.383,-0.000,1.317,1.181,0.786,2
table,18.826,3.600,0.432,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.392,0.259,0.412,0
sofa,19.063,-1.827,0.575,-0.383,-0.924,-0.000,0.924,-0.383,0.000,0.458,0.436,0.314,2
chair,23.259,3.497,0.495,0.924,0.383,-0.000,-0.383,0.924,0.000,0.352,0.346,0.482,2
picture,23.713,3.771,0.850,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.220,0.078,0.153,1
picture,16.616,1.429,1.679,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.425,0.081,0.459,1
picture,17.039,5.228,1.482,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.532,0.097,0.897,1
tv,17.509,-1.020,1.439,0.707,0.707,-0.000,-0.707,0.707,0.000,0.200,0.692,0.458,2
picture,23.817,3.629,1.614,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.904,0.171,0.524,1
table,17.812,-1.745,0.506,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.826,0.315,0.279,0
picture,18.384,3.697,1.592,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.302,0.068,0.306,1
table,21.872,4.342,0.455,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.500,0.225,0.500,0
table,23.714,3.368,0.663,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.523,0.843,0.358,0
picture,23.452,4.117,0.885,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.184,0.094,0.162,1
