label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,5.550,0.810,1.569,0.000,1.000,-0.000,-1.000,0.000,0.000,0.315,0.069,0.489,1
picture,5.869,-0.397,1.678,0.000,1.000,0.000,-1.000,0.000,0.000,0.799,0.085,0.513,1
storage,6.020,-0.354,0.485,0.000,1.000,0.000,-1.000,0.000,0.000,1.093,0.545,0.510,1
decor,9.453,-0.642,1.382,0.000,1.000,0.000,-1.000,0.000,0.000,1.586,0.239,0.174,0
other,8.604,0.487,0.272,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.908,0.270,0.253,-1
picture,9.634,-0.626,1.607,0.000,1.000,0.000,-1.000,0.000,0.000,0.687,0.059,0.498,1
sofa,6.349,-1.779,0.577,1.000,0.000,0.000,0.000,1.000,0.000,0.522,0.452,0.567,2
bed,8.510,-0.564,0.549,-1.000,-0.000,-0.000,0.000,-1.000,0.000,1.169,0.948,0.542,2
other,7.808,1.161,0.613,1.000,0.000,0.000,0.000,1.000,0.000,0.790,0.208,0.594,-1
storage,8.864,-2.910,1.077,1.000,0.000,0.000,0.000,1.000,0.000,0.695,0.353,1.059,1
sofa,6.443,0.881,0.495,0.924,-0.383,0.000,0.383,0.924,-0.000,0.465,0.472,0.472,2
picture,7.716,-4.060,1.511,0.000,1.000,0.000,-1.000,0.000,0.000,0.310,0.072,0.252,1
table,9.405,-0.561,0.451,0.000,1.000,0.000,-1.000,0.000,0.000,1.789,0.276,0.433,0
picture,5.977,-0.428,1.137,0.000,1.000,-0.000,-1.000,0.000,0.000,0.150,0.126,0.170,1
