label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,9.897,5.649,1.002,0.707,0.707,-0.000,-0.707,0.707,0.000,0.169,0.131,0.227,0
other,8.430,2.007,0.050,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.224,0.808,0.014,-1
decor,6.975,5.647,1.006,0.924,0.383,-0.000,-0.383,0.924,0.000,0.177,0.120,0.220,0
picture,5.586,0.894,1.986,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.312,0.038,0.356,1
decor,6.327,0.371,1.600,0.000,1.000,-0.000,-1.000,0.000,0.000,0.086,0.083,0.149,0
picture,8.430,6.004,1.987,1.000,0.000,0.000,0.000,1.000,0.000,0.251,0.037,0.286,1
picture,6.003,4.880,1.678,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.375,0.060,0.432,1
picture,8.843,6.026,1.971,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.206,0.015,0.286,1
table,9.819,5.621,0.439,1.000,0.000,0.000,0.000,1.000,0.000,0.416,0.264,0.405,0
picture,7.943,6.011,1.953,1.000,0.000,0.000,0.000,1.000,0.000,0.118,0.015,0.131,1
table,7.001,5.610,0.448,1.000,0.000,0.000,0.000,1.000,0.000,0.415,0.273,0.418,0
storage,11.473,6.008,1.230,-1.000,0.000,0.000,0.000,-1.000,0.000,0.207,0.430,1.210,1
bed,8.374,4.704,0.781,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.246,1.177,0.747,2
sofa,8.364,3.523,0.276,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.214,0.787,0.209,2
other,5.746,1.048,1.512,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.935,0.334,1.477,-1
storage,9.881,6.048,1.681,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.164,0.289,0.748,1
storage,7.042,6.014,1.593,0.000,1.000,-0.000,-1.000,0.000,0.000,0.197,0.311,0.819,1
