label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,3.587,3.633,3.324,0.000,1.000,0.000,-1.000,0.000,0.000,0.280,0.255,0.280,0
picture,6.887,6.314,1.486,0.000,1.000,-0.000,-1.000,0.000,0.000,0.152,0.020,0.156,1
chair,4.740,1.828,0.556,0.000,1.000,-0.000,-1.000,0.000,0.000,0.403,0.372,0.565,2
storage,2.587,1.725,1.377,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.145,1.015,0.697,1
picture,6.896,5.966,1.457,0.000,1.000,0.000,-1.000,0.000,0.000,0.142,0.008,0.103,1
chair,5.963,4.677,3.615,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.430,0.360,0.563,2
picture,6.870,1.677,1.705,0.000,1.000,-0.000,-1.000,0.000,0.000,0.166,0.027,0.193,1
chair,5.093,4.500,3.252,0.924,0.383,0.000,-0.383,0.924,0.000,0.238,0.232,0.212,2
picture,6.878,5.655,1.442,0.000,1.000,0.000,-1.000,0.000,0.000,0.116,0.010,0.085,1
bed,4.533,2.367,3.334,1.000,0.000,0.000,0.000,1.000,0.000,1.044,1.021,0.294,2
table,6.446,4.789,3.506,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.344,0.898,0.453,0
chair,3.940,2.342,0.565,0.924,0.383,-0.000,-0.383,0.924,0.000,0.407,0.419,0.571,2
chair,5.409,2.168,0.561,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.350,0.373,0.562,2
picture,6.878,1.658,1.480,0.000,1.000,-0.000,-1.000,0.000,0.000,0.136,0.021,0.170,1
decor,3.003,0.940,1.399,0.000,1.000,0.000,-1.000,0.000,0.000,0.214,0.176,0.178,0
table,3.641,1.062,3.308,0.000,1.000,0.000,-1.000,0.000,0.000,0.342,0.268,0.242,0
storage,6.811,1.985,3.503,0.000,1.000,0.000,-1.000,0.000,0.000,1.539,0.054,0.463,1
picture,6.881,1.997,1.476,0.000,1.000,-0.000,-1.000,0.000,0.000,0.163,0.015,0.166,1
storage,2.539,5.790,1.086,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.131,1.022,0.979,1
picture,3.673,6.807,1.493,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.170,0.008,0.142,1
picture,6.899,5.936,1.790,0.000,1.000,0.000,-1.000,0.000,0.000,0.207,0.007,0.122,1
