label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-9.942,4.823,1.861,1.000,0.000,0.000,0.000,1.000,0.000,0.281,0.021,0.263,1
storage,-7.897,3.932,0.896,-1.000,0.000,0.000,0.000,-1.000,0.000,0.193,0.895,0.095,1
table,-9.052,4.503,0.260,1.000,0.000,0.000,0.000,1.000,0.000,0.516,0.339,0.254,0
storage,-8.959,1.511,1.597,0.000,1.000,-0.000,-1.000,0.000,0.000,0.214,1.149,0.797,1
picture,-8.525,4.816,1.245,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.324,0.016,0.280,1
chair,-10.244,4.159,0.590,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.258,0.120,0.364,2
picture,-8.500,4.819,1.832,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.331,0.014,0.284,1
picture,-9.634,1.339,1.933,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.391,0.031,0.545,1
chair,-8.608,4.126,0.485,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.432,0.497,0.475,2
picture,-9.922,4.831,1.298,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.324,0.015,0.261,1
chair,-9.730,4.241,0.478,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.435,0.644,0.474,2
tv,-9.263,1.743,0.603,0.000,1.000,0.000,-1.000,0.000,0.000,0.068,0.619,0.352,2
table,-9.242,4.186,0.197,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.263,0.200,0.181,0
picture,-9.215,4.818,1.642,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.324,0.024,0.368,1
