label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-15.465,-14.441,1.663,0.000,1.000,0.000,-1.000,0.000,0.000,0.699,0.061,0.429,1
picture,-11.392,-13.377,1.459,0.000,1.000,0.000,-1.000,0.000,0.000,0.750,0.067,0.503,1
picture,-12.170,-16.610,1.526,1.000,0.000,0.000,0.000,1.000,0.000,0.295,0.064,0.735,1
decor,-13.505,-16.277,0.870,0.000,1.000,-0.000,-1.000,0.000,0.000,0.333,0.324,0.788,0
chair,-12.803,-14.587,0.537,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.741,0.191,0.396,2
table,-13.556,-13.674,0.297,0.383,0.924,0.000,-0.924,0.383,0.000,0.408,0.276,0.215,0
chair,-14.554,-12.059,0.544,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.497,0.475,0.385,2
table,-13.839,-11.890,0.368,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.295,0.255,0.216,0
sofa,-12.299,-14.567,0.716,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.025,2.095,0.658,2
other,-15.780,-12.771,0.554,0.000,1.000,0.000,-1.000,0.000,0.000,0.528,0.299,0.285,-1
picture,-11.433,-14.781,1.440,0.000,1.000,0.000,-1.000,0.000,0.000,0.655,0.037,0.509,1
decor,-12.122,-12.256,0.851,0.924,0.383,-0.000,-0.383,0.924,0.000,0.115,0.089,0.138,0
chair,-11.666,-16.271,0.695,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.367,0.364,0.579,2
