label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-5.568,5.847,0.842,0.000,1.000,0.000,-1.000,0.000,0.000,0.438,0.331,0.088,-1
storage,-9.852,7.488,2.251,1.000,0.000,0.000,0.000,1.000,0.000,0.648,0.136,0.573,1
storage,-10.448,7.722,0.952,0.000,1.000,-0.000,-1.000,0.000,0.000,0.369,0.043,0.946,1
other,-8.567,5.511,0.852,1.000,0.000,0.000,0.000,1.000,0.000,1.525,0.580,0.103,-1
storage,-8.668,7.619,1.958,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.046,0.017,0.045,1
chair,-9.685,5.105,0.346,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.305,0.226,0.351,2
storage,-8.565,5.516,0.431,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.515,0.566,0.448,1
other,-8.564,5.772,0.796,1.000,0.000,0.000,0.000,1.000,0.000,0.378,0.198,0.139,-1
storage,-5.463,5.865,2.058,0.000,1.000,-0.000,-1.000,0.000,0.000,0.437,0.215,0.755,1
chair,-8.991,5.089,0.339,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.296,0.242,0.353,2
storage,-10.383,7.728,2.394,0.000,1.000,-0.000,-1.000,0.000,0.000,0.359,0.148,0.570,1
storage,-6.986,7.480,0.406,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.377,0.045,0.420,1
storage,-6.252,7.493,0.899,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.474,0.106,0.914,1
storage,-9.899,7.310,0.908,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.493,0.157,0.915,1
storage,-5.560,5.842,0.402,0.000,1.000,0.000,-1.000,0.000,0.000,0.421,0.332,0.408,1
storage,-5.801,5.054,0.753,0.000,1.000,-0.000,-1.000,0.000,0.000,0.389,0.136,0.760,1
chair,-7.422,5.078,0.337,1.000,0.000,0.000,0.000,1.000,0.000,0.288,0.240,0.346,2
storage,-5.784,5.079,2.172,0.000,1.000,-0.000,-1.000,0.000,0.000,0.419,0.140,0.712,1
other,-8.888,7.469,0.884,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.480,0.171,0.085,-1
storage,-7.963,7.405,0.418,1.000,0.000,0.000,0.000,1.000,0.000,0.641,0.064,0.434,1
storage,-6.234,7.541,2.309,1.000,0.000,0.000,0.000,1.000,0.000,0.454,0.077,0.516,1
storage,-8.987,7.475,0.407,1.000,0.000,0.000,0.000,1.000,0.000,0.409,0.059,0.420,1
chair,-8.254,5.083,0.345,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.427,0.239,0.359,2
other,-7.115,7.469,0.899,1.000,0.000,0.000,0.000,1.000,0.000,0.518,0.159,0.099,-1
