label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-6.763,-1.547,1.976,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.546,0.271,1.058,1
other,-3.132,-2.111,0.373,0.924,0.383,-0.000,-0.383,0.924,0.000,0.152,0.092,0.365,-1
chair,-3.080,2.711,0.504,0.000,1.000,0.000,-1.000,0.000,0.000,0.335,0.332,0.508,2
other,-4.622,0.141,0.473,0.000,1.000,0.000,-1.000,0.000,0.000,1.357,0.766,0.474,-1
chair,-4.713,4.464,0.507,0.000,-1.000,-0.000,1.000,0.000,-0.000,0.324,0.414,0.508,2
other,-2.731,6.545,1.641,0.924,-0.383,-0.000,0.383,0.924,0.000,1.597,0.428,1.633,-1
chair,-4.600,2.651,0.514,0.000,1.000,0.000,-1.000,0.000,0.000,0.299,0.254,0.498,2
other,-0.988,3.755,0.981,0.000,1.000,0.000,-1.000,0.000,0.000,0.830,0.281,0.285,-1
storage,-1.058,5.281,2.166,0.000,1.000,0.000,-1.000,0.000,0.000,0.745,0.251,0.912,1
storage,-2.627,0.330,1.561,0.000,1.000,0.000,-1.000,0.000,0.000,0.645,0.422,1.561,1
chair,-3.161,4.579,0.521,-0.383,-0.924,-0.000,0.924,-0.383,-0.000,0.227,0.287,0.504,2
other,-1.232,3.676,0.527,0.000,1.000,0.000,-1.000,0.000,0.000,2.300,0.418,0.511,-1
table,-3.867,3.632,0.496,1.000,0.000,0.000,0.000,1.000,0.000,1.303,0.813,0.495,0
storage,-6.872,1.114,2.189,0.000,1.000,0.000,-1.000,0.000,0.000,0.475,0.271,0.869,1
storage,-1.007,2.045,2.130,0.000,1.000,0.000,-1.000,0.000,0.000,0.654,0.204,0.865,1
chair,-3.826,2.678,0.506,0.000,1.000,0.000,-1.000,0.000,0.000,0.309,0.273,0.505,2
chair,-3.733,4.496,0.513,0.000,-1.000,-0.000,1.000,0.000,-0.000,0.313,0.348,0.512,2
storage,-2.729,-0.490,2.306,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.366,0.237,0.707,1
other,-6.666,-0.188,0.578,0.000,1.000,0.000,-1.000,0.000,0.000,1.769,0.395,0.563,-1
