label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-4.501,-1.808,0.816,1.000,0.000,0.000,0.000,1.000,0.000,0.635,0.260,0.189,0
decor,0.137,-5.670,1.134,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.245,0.176,0.426,0
decor,-4.881,-1.818,1.437,0.000,1.000,0.000,-1.000,0.000,0.000,0.264,0.237,0.220,0
tv,0.139,-3.983,0.902,-1.000,0.000,0.000,0.000,-1.000,0.000,0.015,0.591,0.275,2
table,-0.323,-4.036,3.568,0.000,1.000,0.000,-1.000,0.000,0.000,0.352,0.316,0.047,0
table,-3.151,-4.055,3.505,0.000,1.000,0.000,-1.000,0.000,0.000,0.317,0.314,0.117,0
decor,0.114,-2.290,1.129,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.240,0.199,0.427,0
table,-4.742,-1.853,3.607,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.635,0.272,0.390,0
picture,-3.899,-6.326,0.986,1.000,0.000,0.000,0.000,1.000,0.000,0.688,0.118,0.974,1
other,-1.522,-1.721,3.127,1.000,0.000,0.000,0.000,1.000,0.000,2.104,1.631,0.065,-1
