label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,0.907,15.714,1.490,0.000,1.000,-0.000,-1.000,0.000,0.000,0.227,0.011,0.403,1
storage,2.901,15.665,0.876,1.000,0.000,0.000,0.000,1.000,0.000,0.516,0.098,0.848,1
other,2.310,16.000,2.660,0.000,1.000,0.000,-1.000,0.000,0.000,0.173,0.164,0.043,-1
decor,3.428,20.056,0.547,1.000,0.000,0.000,0.000,1.000,0.000,0.283,0.201,0.446,0
other,2.297,17.520,2.666,0.000,1.000,0.000,-1.000,0.000,0.000,0.161,0.151,0.044,-1
other,2.313,19.040,2.683,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.154,0.147,0.041,-1
picture,1.347,18.726,1.623,0.000,1.000,-0.000,-1.000,0.000,0.000,0.099,0.009,0.145,1
table,2.747,17.669,0.705,0.000,1.000,0.000,-1.000,0.000,0.000,1.139,0.595,0.675,0
storage,3.505,19.472,0.994,-1.000,0.000,0.000,0.000,-1.000,0.000,0.221,0.486,0.912,1
picture,3.656,15.948,1.634,0.000,1.000,0.000,-1.000,0.000,0.000,0.210,0.008,0.134,1
storage,1.981,15.632,0.860,1.000,0.000,0.000,0.000,1.000,0.000,0.467,0.107,0.845,1
