label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-16.834,13.560,0.502,1.000,0.000,0.000,0.000,1.000,0.000,0.442,0.285,0.435,0
bed,-18.334,12.617,0.789,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.229,1.167,0.726,2
picture,-20.805,11.192,1.487,0.000,1.000,0.000,-1.000,0.000,0.000,0.460,0.104,0.450,1
picture,-20.762,10.519,1.409,0.000,1.000,-0.000,-1.000,0.000,0.000,0.226,0.145,0.316,1
sofa,-18.302,10.956,0.510,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.591,1.073,0.466,2
table,-19.710,13.527,0.465,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.466,0.318,0.388,0
storage,-20.651,10.902,0.620,0.000,1.000,0.000,-1.000,0.000,0.000,0.852,0.259,0.559,1
decor,-20.333,9.105,0.761,0.000,1.000,-0.000,-1.000,0.000,0.000,0.210,0.159,0.705,0
sofa,-20.023,8.744,0.555,0.707,0.707,-0.000,-0.707,0.707,0.000,0.497,0.555,0.526,2
tv,-18.328,8.006,1.732,0.000,1.000,0.000,-1.000,0.000,0.000,0.063,0.891,0.560,2
