label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-2.454,7.731,4.575,0.000,1.000,0.000,-1.000,0.000,0.000,0.141,0.129,0.132,-1
table,-2.605,7.122,0.584,0.707,0.707,0.000,-0.707,0.707,0.000,1.343,0.582,0.585,0
storage,-1.361,6.016,0.516,-0.707,-0.707,0.000,0.707,-0.707,0.000,1.220,0.344,0.508,1
chair,-2.748,7.621,0.551,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.218,0.241,0.528,2
storage,-1.786,11.500,1.699,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.792,2.238,1.718,1
sofa,-5.132,10.710,0.433,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.573,2.021,0.443,2
storage,-5.206,6.883,0.469,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.104,0.325,0.428,1
sofa,-4.331,9.184,0.274,1.000,0.000,0.000,0.000,1.000,0.000,0.334,0.303,0.232,2
chair,-3.037,7.211,0.590,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.297,0.283,0.492,2
table,-4.518,10.677,0.305,0.000,1.000,0.000,-1.000,0.000,0.000,0.610,0.604,0.257,0
storage,-2.710,5.627,0.996,0.000,1.000,0.000,-1.000,0.000,0.000,1.093,0.419,0.963,1
tv,-1.527,10.646,1.306,-1.000,0.000,0.000,0.000,-1.000,0.000,0.098,0.721,0.514,2
chair,-2.393,7.802,0.585,0.707,-0.707,0.000,0.707,0.707,-0.000,0.353,0.488,0.496,2
table,-2.604,5.029,0.977,0.000,1.000,-0.000,-1.000,0.000,0.000,0.525,0.521,0.942,0
