label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,4.008,0.853,-0.445,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.330,0.141,0.085,0
other,6.159,-1.715,0.277,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.569,0.185,0.265,-1
table,3.945,1.244,-0.400,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.876,0.559,0.155,0
decor,1.339,1.301,0.661,0.383,0.924,-0.000,-0.924,0.383,0.000,1.420,0.924,1.594,0
chair,2.618,-1.916,-0.140,0.707,0.707,-0.000,-0.707,0.707,0.000,0.762,0.406,0.433,2
chair,3.252,0.185,-0.195,0.707,0.707,-0.000,-0.707,0.707,0.000,0.596,0.519,0.372,2
picture,3.600,-2.389,0.966,-0.924,-0.383,0.000,0.383,-0.924,0.000,1.587,0.140,1.172,1
table,5.195,2.431,-0.231,1.000,0.000,0.000,0.000,1.000,0.000,0.622,0.530,0.245,0
picture,3.390,2.901,1.296,-1.000,0.000,0.000,-0.000,-1.000,0.000,2.174,0.080,1.141,1
sofa,2.986,-1.762,-0.237,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.386,0.211,0.099,2
decor,1.632,2.512,0.324,0.707,0.707,-0.000,-0.707,0.707,0.000,0.274,0.194,0.880,0
decor,5.332,2.546,0.229,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.392,0.188,0.499,0
decor,4.172,1.299,0.136,1.000,0.000,0.000,0.000,1.000,0.000,0.226,0.215,0.407,0
sofa,4.576,1.782,-0.201,-0.707,-0.707,0.000,0.707,-0.707,0.000,1.108,2.064,0.368,2
