label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-3.201,-3.660,0.576,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.303,0.287,0.443,2
picture,3.714,-3.249,1.504,1.000,0.000,0.000,0.000,1.000,0.000,0.248,0.036,0.226,1
decor,-2.591,-3.537,1.108,0.924,0.383,0.000,-0.383,0.924,0.000,0.152,0.126,0.149,0
picture,5.347,-3.250,1.524,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.253,0.022,0.203,1
picture,4.802,-2.273,1.569,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.388,0.031,0.334,1
picture,0.646,-2.224,1.580,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.132,0.020,0.151,1
picture,-3.186,-3.385,1.597,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.522,0.045,0.470,1
picture,3.766,-2.246,1.452,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.218,0.017,0.237,1
picture,-2.459,-4.732,1.472,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.194,0.025,0.237,1
picture,0.040,-2.234,1.548,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.474,0.040,0.356,1
picture,0.117,-3.221,1.504,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.443,0.032,0.312,1
picture,2.176,-2.807,1.829,1.000,0.000,0.000,0.000,1.000,0.000,1.397,0.599,0.745,1
picture,1.204,-2.239,1.526,1.000,0.000,0.000,0.000,1.000,0.000,0.129,0.015,0.162,1
