label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,5.223,-9.515,1.851,0.000,1.000,-0.000,-1.000,0.000,0.000,0.162,0.114,0.233,-1
other,4.837,-9.825,0.707,0.000,1.000,0.000,-1.000,0.000,0.000,0.386,0.229,0.131,-1
storage,5.262,-12.718,2.086,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.416,0.214,0.865,1
other,7.596,-9.829,0.056,0.000,1.000,0.000,-1.000,0.000,0.000,1.395,0.985,0.129,-1
other,5.313,-9.787,0.785,0.000,1.000,0.000,-1.000,0.000,0.000,1.397,0.802,0.230,-1
table,7.823,-10.703,0.409,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.122,0.048,0.046,0
chair,5.741,-7.278,0.432,0.000,1.000,-0.000,-1.000,0.000,0.000,0.091,0.290,0.499,2
chair,5.784,-9.270,0.481,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.328,0.443,0.547,2
table,8.130,-9.147,0.504,0.000,1.000,0.000,-1.000,0.000,0.000,0.133,0.048,0.052,0
decor,8.884,-12.775,1.029,0.000,1.000,0.000,-1.000,0.000,0.000,0.198,0.190,0.178,0
other,5.225,-10.622,1.747,0.000,1.000,0.000,-1.000,0.000,0.000,0.155,0.107,0.123,-1
storage,3.450,-12.554,1.567,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.526,0.347,1.321,1
chair,7.587,-10.784,0.447,0.000,1.000,0.000,-1.000,0.000,0.000,0.292,0.295,0.495,2
storage,3.094,-10.772,0.357,0.000,1.000,0.000,-1.000,0.000,0.000,0.431,0.153,0.408,1
chair,5.578,-10.717,0.485,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.342,0.330,0.547,2
storage,3.107,-8.714,0.380,0.000,1.000,-0.000,-1.000,0.000,0.000,0.433,0.140,0.445,1
storage,6.006,-12.344,0.393,-1.000,0.000,0.000,-0.000,-1.000,0.000,3.067,0.086,0.453,1
chair,7.861,-10.733,0.366,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.099,0.156,0.062,2
chair,8.215,-10.168,0.799,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.059,0.194,0.135,2
decor,6.891,-12.773,0.984,0.707,0.707,0.000,-0.707,0.707,0.000,0.143,0.134,0.120,0
other,6.450,-12.619,0.863,-1.000,0.000,0.000,-0.000,-1.000,0.000,2.638,0.331,0.181,-1
chair,7.961,-10.115,0.438,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.367,0.392,0.504,2
other,7.594,-12.605,0.915,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.399,0.210,0.081,-1
chair,7.273,-10.187,0.442,1.000,0.000,0.000,0.000,1.000,0.000,0.291,0.271,0.499,2
storage,8.609,-12.770,2.070,1.000,0.000,0.000,0.000,1.000,0.000,0.490,0.208,0.867,1
table,7.636,-9.841,0.351,0.000,1.000,0.000,-1.000,0.000,0.000,1.093,0.579,0.410,0
chair,7.115,-9.448,0.443,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.177,0.290,0.493,2
chair,5.582,-8.989,0.474,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.366,0.514,0.549,2
chair,5.860,-10.130,0.494,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.335,0.348,0.547,2
other,5.220,-8.963,1.728,0.000,1.000,0.000,-1.000,0.000,0.000,0.158,0.109,0.126,-1
chair,7.653,-8.981,0.441,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.342,0.311,0.494,2
