label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-12.436,-2.226,2.715,0.000,1.000,-0.000,-1.000,0.000,0.000,0.216,0.195,0.905,1
chair,-7.232,-2.293,0.473,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.248,0.264,0.312,2
other,-11.242,-2.263,0.909,0.000,1.000,0.000,-1.000,0.000,0.000,3.031,1.392,0.097,-1
storage,-11.264,-4.094,1.906,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.365,1.155,0.722,1
decor,-10.320,-5.010,1.011,0.707,0.707,0.000,-0.707,0.707,0.000,0.160,0.136,0.086,0
storage,-11.259,-2.234,0.495,0.000,1.000,0.000,-1.000,0.000,0.000,2.462,1.361,0.480,1
other,-10.296,-2.501,0.785,0.000,1.000,0.000,-1.000,0.000,0.000,0.329,0.205,0.141,-1
storage,-9.746,0.424,1.335,1.000,0.000,0.000,0.000,1.000,0.000,1.503,0.329,1.301,1
storage,-9.256,-4.947,1.447,1.000,0.000,0.000,0.000,1.000,0.000,1.001,0.376,1.433,1
picture,-11.109,-5.125,1.002,1.000,0.000,0.000,0.000,1.000,0.000,0.129,0.106,0.091,1
storage,-9.365,-4.660,1.099,1.000,0.000,0.000,0.000,1.000,0.000,0.629,0.123,1.070,1
chair,-7.222,-2.968,0.426,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.255,0.274,0.283,2
chair,-8.247,-1.559,0.434,0.000,1.000,-0.000,-1.000,0.000,0.000,0.274,0.262,0.299,2
table,-7.691,-2.273,0.499,0.000,1.000,0.000,-1.000,0.000,0.000,1.210,0.705,0.480,0
picture,-11.461,-5.170,2.873,1.000,0.000,0.000,0.000,1.000,0.000,0.400,0.055,0.342,1
storage,-11.811,-0.369,1.936,0.000,1.000,0.000,-1.000,0.000,0.000,1.149,0.826,0.727,1
chair,-8.204,-3.092,0.461,0.000,1.000,-0.000,-1.000,0.000,0.000,0.290,0.209,0.314,2
chair,-8.196,-2.284,0.379,0.000,1.000,-0.000,-1.000,0.000,0.000,0.287,0.223,0.345,2
chair,-7.210,-1.580,0.460,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.281,0.269,0.323,2
